REQUEST ID,,SITE LOCATION,STORET STATION,LATITUDE,,LONGITUDE,FIELD ID,DATE SAMPLED,DATE RECEIVED,,DATE ANALYZED,GROUP ID,ANALYSIS,,COMPONENT,,,STORET PARAMETER,RESULT,REMARK,MDL,PQL,UNITS,TEST COMMENTS,MATRIX,TEMPERATURE,SPECIFIC CONDUCTANCE,SALINITY,PH,DISSOLVED O2,SAMPLE DEPTH,BATCH ID,SAMPLE ID,PRESERVATION,REFERENCE METHOD
RQ-2019-09-23-02,,Field Blank,,,,,Field Blank,15-Oct-2019 10:45,16-Oct-2019 10:05,,16-Oct-2019 12:28,CHEMISTRY,W-PO4-F,,O-Phosphate-P,,,00671,0.004,U,0.0040,0.010,mg P/L,,W-FIELD-BK,,,,,,,P372621,2128402,FILTER-ICE,EPA 365.1 Rev. 2.0
RQ-2019-09-23-02,,Field Blank,,,,,Field Blank,15-Oct-2019 10:45,16-Oct-2019 10:05,,16-Oct-2019 14:18,CHEMISTRY,W-NO2-F,,Nitrite-N,,,00613,0.002,U,0.0020,0.0050,mg N/L,,W-FIELD-BK,,,,,,,P372842,2128402,FILTER-ICE,EPA 353.2 Rev. 2.0
RQ-2019-09-23-02,,Field Blank,,,,,Field Blank,15-Oct-2019 10:45,16-Oct-2019 10:05,,16-Oct-2019 14:18,CHEMISTRY,W-NO3-F,,Nitrate-N,,,00620,0.004,U,0.004,0.010,mg N/L,,W-FIELD-BK,,,,,,,P373491,2128402,FILTER-ICE,EPA 353.2 Rev. 2.0
RQ-2019-09-23-02,,Field Blank,,,,,Field Blank,15-Oct-2019 10:45,16-Oct-2019 10:05,,16-Oct-2019 16:27,CHEMISTRY,TURBIDITY,,Turbidity,,,00076,0.10,U,0.10,0.13,NTU,,W-FIELD-BK,,,,,,,P372601,2128400,ICE,EPA 180.1 Rev. 2.0
RQ-2019-09-23-02,,Field Blank,,,,,Field Blank,15-Oct-2019 10:45,16-Oct-2019 10:05,,17-Oct-2019 11:56,CHEMISTRY,W-NO2NO3-F,,NO2NO3-N,,,00631,0.004,U,0.0040,0.010,mg N/L,,W-FIELD-BK,,,,,,,P372731,2128401,FILTER-H2SO4-ICE,EPA 353.2 Rev. 2.0
RQ-2019-09-23-02,,Field Blank,,,,,Field Blank,15-Oct-2019 10:45,16-Oct-2019 10:05,,17-Oct-2019 14:30,BIOLOGY,FCOLI-MF,,Fecal Coliforms-Membrane Filter,,,31616,1,UQ,1,1,cfu/100 mL,Precision data for QC sample is unavailable due to the colony count falling outside of method acceptable range.,W-FIELD-BK,,,,,,,P373375,2128343,ICE,SM 9222 D
RQ-2019-09-23-02,,Field Blank,,,,,Field Blank,15-Oct-2019 10:45,16-Oct-2019 10:05,,18-Oct-2019 15:45,CHEMISTRY,W-TSS,,TSS,,,00530,2,U,2.0,10,mg/L,Batch relative percent difference is unavailable because of low analyte concentration in the QC sample.,W-FIELD-BK,,,,,,,P373258,2128400,ICE,SM 2540 D-97
RQ-2019-09-23-02,,Field Blank,,,,,Field Blank,15-Oct-2019 10:45,16-Oct-2019 10:05,,21-Oct-2019 14:42,CHEMISTRY,W-NH3-F,,Ammonia-N,,,00608,0.002,U,0.0020,0.0050,mg N/L,,W-FIELD-BK,,,,,,,P372885,2128401,FILTER-H2SO4-ICE,EPA 350.1 Rev. 2.0
RQ-2019-09-23-02,,Field Blank,,,,,Field Blank,15-Oct-2019 10:45,16-Oct-2019 10:05,,22-Oct-2019 21:26,CHEMISTRY,W-TKN,,Kjeldahl Nitrogen,,,00625,0.080,U,0.080,0.20,mg N/L,,W-FIELD-BK,,,,,,,P372681,2128403,ICE And H2SO4,EPA 351.2 Rev. 2.0
RQ-2019-09-23-02,,Field Blank,,,,,Field Blank,15-Oct-2019 10:45,16-Oct-2019 10:05,,23-Oct-2019 16:04,CHEMISTRY,W-S-A-TP,,Total-P,,,00665,0.002,U,0.0020,0.0050,mg P/L,,W-FIELD-BK,,,,,,,P372743,2128403,ICE And H2SO4,EPA 365.1 Rev. 2.0
