"","stationcode","datetimestamp","monitoringprogram","replicate","temperature","specificconductance","ph","dissolvedoxygen","2,4-d1","acetaminophen1","ammonia-n1","bentazon1","carbamazepine1","chlorophyll-a, corrected1","chlorophyll-a, corrected2","chlorophyll-a, modified fluorometric1","chlorophyll-a, uncorrected1","chlorophyll-a, uncorrected2","diuron1","escherichia coli-quanti-tray1","fecal coliforms-membrane filter1","fenuron1","fluridone1","hydrocodone1","ibuprofen1","imazapyr1","imidacloprid1","kjeldahl nitrogen filtered1","kjeldahl nitrogen1","linuron1","mcpp1","naproxen1","nitrate-n1","nitrite-n1","no2no3-n1","o-phosphate-p1","organic carbon1","phaeophytin-a1","phaeophytin-a2","primidone1","pyraclostrobin1","sucralose1","total-p1","triclopyr1","tss1","F_2,4-d1","F_acetaminophen1","F_ammonia-n1","F_bentazon1","F_carbamazepine1","F_chlorophyll-a, corrected1","F_chlorophyll-a, corrected2","F_chlorophyll-a, modified fluorometric1","F_chlorophyll-a, uncorrected1","F_chlorophyll-a, uncorrected2","F_diuron1","F_escherichia coli-quanti-tray1","F_fecal coliforms-membrane filter1","F_fenuron1","F_fluridone1","F_hydrocodone1","F_ibuprofen1","F_imazapyr1","F_imidacloprid1","F_kjeldahl nitrogen filtered1","F_kjeldahl nitrogen1","F_linuron1","F_mcpp1","F_naproxen1","F_nitrate-n1","F_nitrite-n1","F_no2no3-n1","F_o-phosphate-p1","F_organic carbon1","F_phaeophytin-a1","F_phaeophytin-a2","F_primidone1","F_pyraclostrobin1","F_sucralose1","F_total-p1","F_triclopyr1","F_tss1"
"1","fieldblank","2018-01-16 10:00:00"," "," "," "," "," "," "," "," ","0.002"," "," ","0.55"," "," ","0.40"," "," "," ","1"," "," "," "," "," "," "," ","0.080"," "," "," ","0.004","0.002","0.004","0.004"," ","0.40"," "," "," "," ","0.002"," ","2"," "," ","U"," "," ","U"," "," ","U"," "," "," ","UQ"," "," "," "," "," "," "," ","U"," "," "," ","U","U","U","U"," ","U"," "," "," "," ","I"," ","U"
"2","fieldblank","2018-02-13 09:07:00"," "," "," "," "," "," "," "," ","0.002"," "," ","0.55"," "," ","0.40"," "," "," ","1"," "," "," "," "," "," "," ","0.080"," "," "," ","0.004","0.002","0.004","0.004"," ","0.40"," "," "," "," ","0.002"," ","2"," "," ","U"," "," ","U"," "," ","U"," "," "," ","UQ"," "," "," "," "," "," "," ","U"," "," "," ","U","U","U","UA"," ","U"," "," "," "," ","I"," ","U"
"3","fieldblank","2018-03-27 08:05:00"," "," "," "," "," "," "," "," ","0.002"," "," ","0.55"," "," ","0.40"," "," "," ","1"," "," "," "," "," "," "," ","0.080"," "," "," ","0.004","0.002","0.004","0.004"," ","0.40"," "," "," "," ","0.002"," ","2"," "," ","UY"," "," ","U"," "," ","U"," "," "," ","UQ"," "," "," "," "," "," "," ","U"," "," "," ","U","U","UY","U"," ","U"," "," "," "," ","I"," ","U"
"4","fieldblank","2018-04-25 07:53:00"," "," "," "," "," "," "," "," ","0.002"," "," ","0.55"," "," ","0.40"," "," "," ","1"," "," "," "," "," "," "," ","0.080"," "," "," ","0.004","0.002","0.004","0.004"," ","0.40"," "," "," "," ","0.003"," ","2"," "," ","UY"," "," ","U"," "," ","U"," "," "," ","UQ"," "," "," "," "," "," "," ","UY"," "," "," ","UY","U","UY","U"," ","U"," "," "," "," ","IY"," ","U"
"5","fieldblank","2018-05-29 10:16:00"," "," "," "," "," "," "," "," ","0.002"," "," ","0.62"," "," ","0.45"," "," "," ","1"," "," "," "," "," "," "," ","0.080"," "," "," ","0.004","0.002","0.004","0.004"," ","0.45"," "," "," "," ","0.002"," ","2"," "," ","U"," "," ","U"," "," ","U"," "," "," ","UQ"," "," "," "," "," "," "," ","U"," "," "," ","U","U","U","U"," ","U"," "," "," "," ","I"," ","U"
"6","fieldblank","2018-06-12 09:30:00"," "," "," "," "," "," "," "," ","0.002"," "," ","0.55"," "," ","0.40"," "," "," ","1"," "," "," "," "," "," "," ","0.080"," "," "," ","0.004","0.002","0.004","0.004"," ","0.40"," "," "," "," ","0.002"," ","2"," "," ","U"," "," ","U"," "," ","U"," "," "," ","UQ"," "," "," "," "," "," "," ","U"," "," "," ","U","U","U","U"," ","U"," "," "," "," ","U"," ","U"
"7","fieldblank","2018-07-24 09:10:00"," "," "," "," "," "," "," "," ","0.002"," "," ","0.55"," "," ","0.40"," "," "," ","1"," "," "," "," "," "," "," ","0.080"," "," "," ","0.004","0.002","0.004","0.004"," ","0.40"," "," "," "," ","0.002"," ","2"," "," ","U"," "," ","U"," "," ","U"," "," "," ","UQ"," "," "," "," "," "," "," ","U"," "," "," ","U","U","U","U"," ","U"," "," "," "," ","U"," ","U"
"8","fieldblank","2018-08-07 07:30:00"," "," "," "," "," "," "," "," ","0.002"," "," ","0.55"," "," ","0.40"," "," "," ","1"," "," "," "," "," "," "," ","0.080"," "," "," ","0.004","0.002","0.004","0.004"," ","0.40"," "," "," "," ","0.002"," ","2"," "," ","U"," "," ","U"," "," ","U"," "," "," ","UQ"," "," "," "," "," "," "," ","U"," "," "," ","U","U","U","U"," ","U"," "," "," "," ","U"," ","U"
"9","fieldblank","2018-09-05 07:15:00"," "," "," "," "," "," "," "," ","0.002"," "," ","0.55"," "," ","0.40"," "," "," ","1"," "," "," "," "," "," "," ","0.080"," "," "," ","0.004","0.002","0.004","0.004"," ","0.40"," "," "," "," ","0.002"," ","2"," "," ","U"," "," ","U"," "," ","U"," "," "," ","UQ"," "," "," "," "," "," "," ","U"," "," "," ","U","U","U","U"," ","U"," "," "," "," ","U"," ","U"
"10","fieldblank","2018-10-23 09:06:00"," "," "," "," "," "," "," "," ","0.002"," "," ","0.55"," "," ","0.40"," "," "," ","1"," "," "," "," "," "," "," ","0.080"," "," "," ","0.004","0.002","0.004","0.004"," ","0.60"," "," "," "," ","0.002"," ","2"," "," ","UY"," "," ","U"," "," ","U"," "," "," ","UQ"," "," "," "," "," "," "," ","UY"," "," "," ","UY","U","UY","U"," ","U"," "," "," "," ","UY"," ","U"
"11","fieldblank","2018-11-06 08:50:00"," "," "," "," "," "," "," "," ","0.002"," "," ","0.55"," "," ","0.40"," "," "," ","1"," "," "," "," "," "," "," ","0.080"," "," "," ","0.004","0.002","0.004","0.004"," ","0.60"," "," "," "," ","0.002"," ","2"," "," ","U"," "," ","U"," "," ","U"," "," "," ","UQ"," "," "," "," "," "," "," ","U"," "," "," ","U","U","U","U"," ","U"," "," "," "," ","U"," ","U"
"12","fieldblank","2018-12-04 08:25:00"," "," "," "," "," "," "," "," ","0.002"," "," ","0.69"," "," ","0.50"," "," "," "," "," "," "," "," "," "," "," ","0.080"," "," "," ","0.004","0.002","0.004","0.004"," ","0.75"," "," "," "," ","0.002"," ","2"," "," ","U"," "," ","U"," "," ","U"," "," "," "," "," "," "," "," "," "," "," ","UY"," "," "," ","U","U","U","U"," ","U"," "," "," "," ","UY"," ","U"
"13","gtmfmnut","2018-01-16 12:56:00","1","1","12.2","48360","7.48","10.59"," "," ","0.010"," "," ","1.6"," ","1.5","2.0"," "," "," ","6"," "," "," "," "," "," ","0.35","0.32"," "," "," ","0.012","0.002","0.012","0.017","4.6","0.47"," "," "," "," ","0.035"," ","5"," "," "," "," "," ","I"," "," "," "," "," "," ","BQ"," "," "," "," "," "," ","I","I"," "," "," "," ","U"," "," "," ","I"," "," "," "," "," "," ","I"
"14","gtmfmnut","2018-02-13 12:23:00","1","1","19.7","47680","7.69","6.67"," "," ","0.018"," "," ","1.6"," ","1.8","2.3"," "," "," ","25"," "," "," "," "," "," ","0.38","0.42"," "," "," ","0.005","0.002","0.006","0.017","4.6","1.1"," "," "," "," ","0.039"," ","10"," "," "," "," "," ","I"," "," "," "," "," "," ","BQ"," "," "," "," "," "," ","I"," "," "," "," ","I","U","I"," "," ","I"," "," "," "," "," "," "," "
"15","gtmfmnut","2018-03-27 11:04:00","1","1","18.2","52300","7.48","7.37"," "," ","0.014"," "," ","2.3"," ","3.0","2.6"," "," "," ","7"," "," "," "," "," "," ","0.36","0.26"," "," "," ","0.015","0.002","0.015","0.015","3.0","0.40"," "," "," "," ","0.033"," ","10"," "," "," "," "," "," "," "," "," "," "," "," ","BQ"," "," "," "," "," "," ","I","I"," "," "," "," ","U"," "," "," ","U"," "," "," "," "," "," ","I"
"16","gtmfmnut","2018-04-25 10:15:00","1","1","21.5","51846","7.59","6.98"," "," ","0.027"," "," ","2.5"," ","4.0","3.0"," "," "," ","5"," "," "," "," "," "," ","0.30","0.34"," "," "," ","0.007","0.002","0.007","0.013","2.8","0.74"," "," "," "," ","0.041"," ","13"," "," "," "," "," "," "," "," "," "," "," "," ","BQ"," "," "," "," "," "," ","I","I"," "," "," ","I","U","I"," "," ","I"," "," "," "," "," "," "," "
"17","gtmfmnut","2018-05-29 13:27:00","1","1","26.4","44611","7.53","5.78"," "," ","0.023"," "," ","16"," ","150","18"," "," "," ","6"," "," "," "," "," "," ","0.34","0.52"," "," "," ","0.005","0.002","0.007","0.015","6.2","3.2"," "," "," "," ","0.064"," ","20"," "," "," "," "," "," "," "," "," "," "," "," ","BQ"," "," "," "," "," "," ","I"," "," "," "," ","I","I","I"," "," "," "," "," "," "," "," "," "," "
"18","gtmfmnut","2018-06-12 11:50:00","1","1","27.2","47038","7.54","5.04"," "," ","0.086"," "," ","6.3"," ","29","7.5"," "," "," ","11"," "," "," "," "," "," ","0.41","0.60"," "," "," ","0.017","0.004","0.021","0.030","5.6","1.6"," "," "," "," ","0.068"," ","16"," "," "," "," "," "," "," "," "," "," "," "," ","BQ"," "," "," "," "," "," "," "," "," "," "," "," ","I"," "," "," ","I"," "," "," "," "," "," "," "
"19","gtmfmnut","2018-07-24 11:48:00","1","1","26.9","53212","7.60","4.77"," "," ","0.062"," "," ","4.5"," ","13","5.7"," "," "," ","7"," "," "," "," "," "," ","0.27","0.41"," "," "," ","0.018","0.003","0.020","0.024","3.3","1.6"," "," "," "," ","0.063"," ","16"," "," "," "," "," "," "," "," "," "," "," "," ","BQ"," "," "," "," "," "," ","I"," "," "," "," "," ","I"," "," "," "," "," "," "," "," ","J"," "," "
"20","gtmfmnut","2018-08-07 10:06:00","1","1","29.6","45876","7.69","4.07"," "," ","0.059"," "," ","6.0"," ","32","8.0"," "," "," ","5"," "," "," "," "," "," ","0.38","0.64"," "," "," ","0.009","0.002","0.011","0.026","7.1","3.0"," "," "," "," ","0.064"," ","15"," "," "," "," "," "," "," "," "," "," "," "," ","BQ"," "," "," "," "," "," ","I"," "," "," "," ","I","I"," "," "," "," "," "," "," "," "," "," "," "
"21","gtmfmnut","2018-09-05 09:40:00","1","1","28.1","53340","7.88","4.96"," "," ","0.033"," "," ","4.9"," ","20","5.7"," "," "," ","9"," "," "," "," "," "," ","0.24","0.36"," "," "," ","0.010","0.002","0.012","0.022","2.6","1.1"," "," "," "," ","0.051"," ","10"," "," "," "," "," "," "," ","J"," "," "," "," ","UQ"," "," "," "," "," "," ","I","I"," "," "," ","I","U"," "," "," ","I"," "," "," "," "," "," ","IAQ"
"22","gtmfmnut","2018-10-23 09:09:00","1","1","25.2","53990","8.02","5.97"," "," ","0.018"," "," ","3.9"," "," ","4.6"," "," "," ","2"," "," "," "," "," "," ","0.28","0.29"," "," "," ","0.004","0.007","0.01","0.012","2.0","0.88"," "," "," "," ","0.036"," ","9"," "," "," "," "," "," "," "," "," "," "," "," ","UQ"," "," "," "," "," "," ","I","I"," "," "," ","U"," ","I"," "," ","I"," "," "," "," "," "," ","I"
