"","SampleID","DateSampled","Ammonia-N1","Chlorophyll-a, Corrected1","Chlorophyll-a, Corrected2","Chlorophyll-a, Uncorrected1","Chlorophyll-a, Uncorrected2","Nitrite-N1","NO2NO3-N1","O-Phosphate-P1"
"1","fieldblank",2018-01-16 10:00:00,2018-01-24 12:49:00,2018-01-23 09:00:00,NA,2018-01-23 09:00:00,NA,2018-01-17 13:59:00,2018-01-18 09:13:00,2018-01-17 14:15:00
"2","fieldblank",2018-02-13 09:07:00,2018-02-26 14:38:00,2018-02-26 09:00:00,NA,2018-02-26 09:00:00,NA,2018-02-14 13:53:00,2018-02-21 15:45:00,2018-02-14 16:27:00
"3","fieldblank",2018-03-27 08:05:00,2018-04-04 13:48:00,2018-04-02 10:00:00,NA,2018-04-02 10:00:00,NA,2018-03-28 12:42:00,2018-04-03 13:13:00,2018-03-28 12:04:00
"4","fieldblank",2018-04-25 07:53:00,2018-05-03 14:42:00,2018-05-02 09:35:00,NA,2018-05-02 09:35:00,NA,2018-04-26 13:33:00,2018-04-30 12:54:00,2018-04-26 11:52:00
"5","fieldblank",2018-05-29 10:16:00,2018-06-05 15:44:00,2018-06-01 09:40:00,NA,2018-06-01 09:40:00,NA,2018-05-30 16:07:00,2018-06-01 12:11:00,2018-05-30 12:25:00
"6","fieldblank",2018-06-12 09:30:00,2018-06-21 09:58:00,2018-06-19 09:45:00,NA,2018-06-19 09:45:00,NA,2018-06-13 12:41:00,2018-06-20 11:03:00,2018-06-13 12:46:00
"7","fieldblank",2018-07-24 09:10:00,2018-07-27 14:52:00,2018-07-31 15:30:00,NA,2018-07-31 15:30:00,NA,2018-07-25 12:12:00,2018-07-27 12:49:00,2018-07-25 11:24:00
"8","fieldblank",2018-08-07 07:30:00,2018-08-10 14:24:00,2018-08-16 13:40:00,NA,2018-08-16 13:40:00,NA,2018-08-08 11:59:00,2018-08-10 09:36:00,2018-08-08 12:59:00
"9","fieldblank",2018-09-05 07:15:00,2018-09-10 12:21:00,2018-09-17 16:10:00,NA,2018-09-17 16:10:00,NA,2018-09-06 17:16:00,2018-09-11 13:31:00,2018-09-06 11:46:00
"10","fieldblank",2018-10-23 09:06:00,2018-11-01 12:14:00,2018-11-05 13:00:00,NA,2018-11-05 13:00:00,NA,2018-10-24 12:46:00,2018-10-26 14:07:00,2018-10-24 12:04:00
"11","fieldblank",2018-11-06 08:50:00,2018-11-13 13:28:00,2018-11-27 15:45:00,NA,2018-11-27 15:45:00,NA,2018-11-07 18:14:00,2018-11-14 13:13:00,2018-11-07 16:28:00
"12","fieldblank",2018-12-04 08:25:00,2018-12-07 13:32:00,2018-12-17 11:50:00,NA,2018-12-17 11:50:00,NA,2018-12-05 12:11:00,2018-12-07 12:25:00,2018-12-05 12:00:00
"13","gtmfmnut1.1",2018-01-16 12:56:00,2018-01-23 13:53:00,2018-01-23 09:00:00,NA,2018-01-23 09:00:00,NA,2018-01-17 14:06:00,2018-01-23 12:52:00,2018-01-17 14:20:00
"14","gtmfmnut1.1",2018-02-13 12:23:00,2018-02-26 17:34:00,2018-02-26 09:00:00,NA,2018-02-26 09:00:00,NA,2018-02-14 13:51:00,2018-02-22 13:14:00,2018-02-14 13:03:00
"15","gtmfmnut1.1",2018-03-27 11:04:00,2018-04-04 13:58:00,2018-04-02 09:10:00,NA,2018-04-02 09:10:00,NA,2018-03-28 12:49:00,2018-03-29 13:02:00,2018-03-28 12:07:00
"16","gtmfmnut1.1",2018-04-25 10:15:00,2018-05-03 14:12:00,2018-05-03 08:40:00,NA,2018-05-03 08:40:00,NA,2018-04-26 13:40:00,2018-04-27 12:09:00,2018-04-26 11:56:00
"17","gtmfmnut1.1",2018-05-29 13:27:00,2018-06-08 12:42:00,2018-06-05 09:30:00,NA,2018-06-05 09:30:00,NA,2018-05-31 11:31:00,2018-06-04 13:15:00,2018-05-31 13:19:00
"18","gtmfmnut1.1",2018-06-12 11:50:00,2018-06-19 12:15:00,2018-06-19 09:45:00,NA,2018-06-19 09:45:00,NA,2018-06-13 12:40:00,2018-06-15 10:12:00,2018-06-13 12:37:00
"19","gtmfmnut1.1",2018-07-24 11:48:00,2018-07-27 12:38:00,2018-07-31 08:15:00,NA,2018-07-31 08:15:00,NA,2018-07-25 12:07:00,2018-07-26 12:30:00,2018-07-25 11:33:00
"20","gtmfmnut1.1",2018-08-07 10:06:00,2018-08-10 15:58:00,2018-08-16 13:40:00,NA,2018-08-16 13:40:00,NA,2018-08-08 11:56:00,2018-08-13 11:38:00,2018-08-08 12:26:00
"21","gtmfmnut1.1",2018-09-05 09:40:00,2018-09-10 11:42:00,2018-09-17 15:30:00,NA,2018-09-17 15:30:00,NA,2018-09-06 17:27:00,2018-09-10 16:14:00,2018-09-06 11:51:00
"22","gtmfmnut1.1",2018-10-23 09:09:00,2018-10-30 14:02:00,2018-11-05 13:00:00,NA,2018-11-05 13:00:00,NA,2018-10-24 12:39:00,2018-10-29 10:25:00,2018-10-24 12:09:00
"23","gtmfmnut1.1",2018-11-06 11:37:00,2018-11-13 12:25:00,2018-11-27 15:45:00,NA,2018-11-27 15:45:00,NA,2018-11-07 16:54:00,2018-11-15 12:14:00,2018-11-07 16:39:00
"24","gtmfmnut1.1",2018-12-04 10:55:00,2018-12-06 14:05:00,2018-12-17 11:50:00,NA,2018-12-17 11:50:00,NA,2018-12-05 12:17:00,2018-12-06 13:50:00,2018-12-05 12:04:00
"25","gtmfmnut1.2",2018-01-16 12:58:00,2018-01-23 13:54:00,2018-01-23 09:00:00,NA,2018-01-23 09:00:00,NA,2018-01-17 14:07:00,2018-01-23 12:58:00,2018-01-17 14:21:00
"26","gtmfmnut1.2",2018-02-13 12:25:00,2018-02-26 17:35:00,2018-02-26 09:00:00,NA,2018-02-26 09:00:00,NA,2018-02-14 13:52:00,2018-02-22 13:15:00,2018-02-14 13:08:00
"27","gtmfmnut1.2",2018-03-27 11:06:00,2018-04-04 14:03:00,2018-04-02 09:10:00,NA,2018-04-02 09:10:00,NA,2018-03-28 12:50:00,2018-03-29 13:03:00,2018-03-28 12:12:00
"28","gtmfmnut1.2",2018-04-25 10:17:00,2018-05-03 14:14:00,2018-05-03 08:40:00,NA,2018-05-03 08:40:00,NA,2018-04-26 13:41:00,2018-04-27 12:10:00,2018-04-26 12:01:00
"29","gtmfmnut1.2",2018-05-29 13:30:00,2018-06-11 15:49:00,2018-06-05 09:30:00,NA,2018-06-05 09:30:00,NA,2018-05-31 11:34:00,2018-06-04 13:16:00,2018-05-31 13:22:00
"30","gtmfmnut1.2",2018-06-12 11:53:00,2018-06-19 12:17:00,2018-06-19 09:45:00,NA,2018-06-19 09:45:00,NA,2018-06-15 09:38:00,2018-06-15 10:14:00,2018-06-13 12:38:00
"31","gtmfmnut1.2",2018-07-24 11:50:00,2018-07-27 12:40:00,2018-07-31 08:15:00,NA,2018-07-31 08:15:00,NA,2018-07-25 12:09:00,2018-07-26 12:31:00,2018-07-25 11:34:00
"32","gtmfmnut1.2",2018-08-07 10:08:00,2018-08-10 15:59:00,2018-08-16 13:40:00,NA,2018-08-16 13:40:00,NA,2018-08-08 11:57:00,2018-08-13 11:39:00,2018-08-08 12:31:00
"33","gtmfmnut1.2",2018-09-05 09:46:00,2018-09-10 11:43:00,2018-09-17 15:30:00,NA,2018-09-17 15:30:00,NA,2018-09-06 17:28:00,2018-09-10 16:16:00,2018-09-06 11:51:00
"34","gtmfmnut1.2",2018-10-23 09:13:00,2018-10-30 14:04:00,2018-11-05 13:00:00,NA,2018-11-05 13:00:00,NA,2018-10-24 12:41:00,2018-10-29 10:31:00,2018-10-24 12:09:00
"35","gtmfmnut1.2",2018-11-06 11:38:00,2018-11-13 12:26:00,2018-11-27 15:45:00,NA,2018-11-27 15:45:00,NA,2018-11-07 16:56:00,2018-11-15 12:16:00,2018-11-07 16:40:00
"36","gtmfmnut1.2",2018-12-04 10:57:00,2018-12-06 14:06:00,2018-12-17 11:50:00,NA,2018-12-17 11:50:00,NA,2018-12-05 12:19:00,2018-12-06 13:56:00,2018-12-05 12:05:00
"37","gtmpcnut1.1",2018-01-16 10:54:00,2018-01-23 14:02:00,2018-01-23 09:00:00,2018-01-23 09:00:00,2018-01-23 09:00:00,2018-01-23 09:00:00,2018-01-17 14:08:00,2018-01-23 12:59:00,2018-01-17 14:22:00
"38","gtmpcnut1.1",2018-02-13 10:59:00,2018-02-26 14:08:00,2018-02-26 09:00:00,2018-02-26 09:00:00,2018-02-26 09:00:00,2018-02-26 09:00:00,2018-02-14 14:30:00,2018-02-22 10:50:00,2018-02-14 12:49:00
"39","gtmpcnut1.1",2018-03-27 11:01:00,2018-04-04 14:04:00,2018-04-02 09:10:00,2018-04-02 10:00:00,2018-04-02 09:10:00,2018-04-02 10:00:00,2018-03-28 12:51:00,2018-03-29 13:20:00,2018-03-28 12:13:00
"40","gtmpcnut1.1",2018-04-25 09:33:00,2018-05-03 14:15:00,2018-05-02 09:35:00,2018-05-03 08:40:00,2018-05-02 09:35:00,2018-05-03 08:40:00,2018-04-26 13:42:00,2018-04-27 12:12:00,2018-04-26 12:02:00
"41","gtmpcnut1.1",2018-05-29 11:59:00,2018-06-05 14:36:00,2018-06-01 08:55:00,2018-06-01 09:40:00,2018-06-01 08:55:00,2018-06-01 09:40:00,2018-05-30 12:16:00,2018-06-01 11:50:00,2018-05-30 12:15:00
"42","gtmpcnut1.1",2018-06-12 10:30:00,2018-06-21 10:07:00,2018-06-19 09:45:00,2018-06-19 09:45:00,2018-06-19 09:45:00,2018-06-19 09:45:00,2018-06-13 12:01:00,2018-06-20 10:35:00,2018-06-13 12:36:00
"43","gtmpcnut1.1",2018-07-24 10:29:00,2018-07-27 12:41:00,2018-07-31 08:15:00,2018-07-31 15:30:00,2018-07-31 08:15:00,2018-07-31 15:30:00,2018-07-25 12:10:00,2018-07-26 12:48:00,2018-07-25 11:35:00
"44","gtmpcnut1.1",2018-08-07 09:54:00,2018-08-10 13:56:00,2018-08-16 13:40:00,2018-08-16 13:40:00,2018-08-16 13:40:00,2018-08-16 13:40:00,2018-08-08 11:50:00,2018-08-10 09:18:00,2018-08-08 12:32:00
"45","gtmpcnut1.1",2018-09-05 09:37:00,2018-09-12 14:48:00,2018-09-17 15:30:00,2018-09-17 16:10:00,2018-09-17 15:30:00,2018-09-17 16:10:00,2018-09-06 13:53:00,2018-09-11 13:32:00,2018-09-06 11:52:00
"46","gtmpcnut1.1",2018-10-23 11:54:00,2018-10-30 14:05:00,2018-11-05 13:00:00,NA,2018-11-05 13:00:00,NA,2018-10-24 12:42:00,2018-10-29 10:33:00,2018-10-24 12:10:00
"47","gtmpcnut1.1",2018-11-06 11:00:00,2018-11-13 12:28:00,2018-11-27 15:45:00,NA,2018-11-27 15:45:00,NA,2018-11-07 16:51:00,2018-11-15 13:37:00,2018-11-07 16:35:00
"48","gtmpcnut1.1",2018-12-04 10:16:00,2018-12-06 14:08:00,2018-12-17 11:50:00,2018-12-17 11:50:00,2018-12-17 11:50:00,2018-12-17 11:50:00,2018-12-05 12:20:00,2018-12-06 13:57:00,2018-12-05 12:06:00
"49","gtmpcnut1.2",2018-01-16 10:57:00,2018-01-23 14:03:00,2018-01-23 09:00:00,NA,2018-01-23 09:00:00,NA,2018-01-17 14:10:00,2018-01-23 13:00:00,2018-01-17 14:23:00
"50","gtmpcnut1.2",2018-02-13 11:03:00,2018-02-26 14:09:00,2018-02-26 09:00:00,NA,2018-02-26 09:00:00,NA,2018-02-14 14:32:00,2018-02-22 10:51:00,2018-02-14 13:09:00
"51","gtmpcnut1.2",2018-03-27 11:06:00,2018-04-04 14:06:00,2018-04-02 09:10:00,NA,2018-04-02 09:10:00,NA,2018-03-28 12:52:00,2018-03-29 13:21:00,2018-03-28 12:14:00
"52","gtmpcnut1.2",2018-04-25 09:37:00,2018-05-03 14:20:00,2018-05-02 09:00:00,NA,2018-05-02 09:00:00,NA,2018-04-26 13:28:00,2018-04-27 12:13:00,2018-04-26 12:03:00
"53","gtmpcnut1.2",2018-05-29 12:03:00,2018-06-05 14:38:00,2018-06-01 09:40:00,NA,2018-06-01 09:40:00,NA,2018-05-30 12:17:00,2018-06-01 11:51:00,2018-05-30 12:15:00
