"","SampleID","DateSampled","Escherichia Coli-Quanti-Tray","Fecal Coliforms-Membrane Filter","Kjeldahl Nitrogen","Kjeldahl Nitrogen Filtered","Organic Carbon","Total-P","TSS"
"1","fieldblank",2018-01-16 10:00:00,NA,2018-01-18 13:05:00,2018-01-22 14:41:00,NA,NA,2018-01-19 15:29:00,2018-01-19 14:32:00
"2","fieldblank",2018-02-13 09:07:00,NA,2018-02-15 12:25:00,2018-02-21 13:00:00,NA,NA,2018-02-19 15:10:00,2018-02-16 15:00:00
"3","fieldblank",2018-03-27 08:05:00,NA,2018-03-29 13:00:00,2018-03-30 14:36:00,NA,NA,2018-04-02 14:05:00,2018-03-30 16:30:00
"4","fieldblank",2018-04-25 07:53:00,NA,2018-04-27 15:25:00,2018-05-01 11:06:00,NA,NA,2018-05-02 10:52:00,2018-04-27 13:15:00
"5","fieldblank",2018-05-29 10:16:00,NA,2018-05-31 13:15:00,2018-06-07 12:30:00,NA,NA,2018-06-07 11:23:00,2018-06-01 14:35:00
"6","fieldblank",2018-06-12 09:30:00,NA,2018-06-14 15:05:00,2018-06-29 12:05:00,NA,NA,2018-06-21 09:44:00,2018-06-15 16:52:00
"7","fieldblank",2018-07-24 09:10:00,NA,2018-07-26 12:10:00,2018-07-31 10:43:00,NA,NA,2018-07-30 14:07:00,2018-07-28 23:02:00
"8","fieldblank",2018-08-07 07:30:00,NA,2018-08-09 13:30:00,2018-08-14 13:42:00,NA,NA,2018-08-15 11:24:00,2018-08-10 16:03:00
"9","fieldblank",2018-09-05 07:15:00,NA,2018-09-07 13:25:00,2018-09-10 14:19:00,NA,NA,2018-09-11 11:59:00,2018-09-10 13:20:00
"10","fieldblank",2018-10-23 09:06:00,NA,2018-10-25 13:00:00,2018-10-31 10:36:00,NA,NA,2018-10-26 13:27:00,2018-10-25 15:41:00
"11","fieldblank",2018-11-06 08:50:00,NA,2018-11-08 16:05:00,2018-11-16 11:23:00,NA,NA,2018-11-14 15:27:00,2018-11-09 16:54:00
"12","fieldblank",2018-12-04 08:25:00,NA,NA,2018-12-11 14:26:00,NA,NA,2018-12-11 14:01:00,2018-12-06 14:08:00
"13","gtmfmnut1.1",2018-01-16 12:56:00,NA,2018-01-18 13:05:00,2018-01-23 08:58:00,2018-01-22 11:39:00,2018-01-20 09:25:00,2018-01-19 14:40:00,2018-01-19 14:32:00
"14","gtmfmnut1.1",2018-02-13 12:23:00,NA,2018-02-15 11:35:00,2018-02-21 09:36:00,2018-02-16 16:13:00,2018-02-21 07:30:00,2018-02-22 13:13:00,2018-02-15 15:00:00
"15","gtmfmnut1.1",2018-03-27 11:04:00,NA,2018-03-29 13:00:00,2018-03-30 11:47:00,2018-04-02 10:51:00,2018-04-05 13:12:00,2018-04-02 13:48:00,2018-03-30 16:30:00
"16","gtmfmnut1.1",2018-04-25 10:15:00,NA,2018-04-27 15:25:00,2018-05-01 09:26:00,2018-05-01 09:01:00,2018-05-01 05:56:00,2018-05-02 11:42:00,2018-04-30 14:05:00
"17","gtmfmnut1.1",2018-05-29 13:27:00,NA,2018-06-01 11:35:00,2018-06-12 11:35:00,2018-06-07 14:17:00,2018-06-07 05:40:00,2018-06-08 12:10:00,2018-06-01 16:15:00
"18","gtmfmnut1.1",2018-06-12 11:50:00,NA,2018-06-14 10:00:00,2018-06-26 15:50:00,2018-06-26 15:09:00,2018-06-19 07:04:00,2018-06-21 10:00:00,2018-06-15 16:52:00
"19","gtmfmnut1.1",2018-07-24 11:48:00,NA,2018-07-26 12:10:00,2018-07-30 14:45:00,2018-07-30 14:26:00,2018-07-27 06:06:00,2018-07-30 13:45:00,2018-07-28 23:02:00
"20","gtmfmnut1.1",2018-08-07 10:06:00,NA,2018-08-09 13:30:00,2018-08-14 13:12:00,2018-08-14 12:28:00,2018-08-10 11:15:00,2018-08-14 12:01:00,2018-08-10 16:03:00
"21","gtmfmnut1.1",2018-09-05 09:40:00,NA,2018-09-07 13:25:00,2018-09-12 09:14:00,2018-09-10 12:30:00,2018-09-20 09:47:00,2018-09-11 11:30:00,2018-09-21 16:15:00
"22","gtmfmnut1.1",2018-10-23 09:09:00,NA,2018-10-25 13:00:00,2018-10-31 10:47:00,2018-10-30 12:18:00,2018-10-27 07:13:00,2018-10-26 14:00:00,2018-10-25 15:41:00
"23","gtmfmnut1.1",2018-11-06 11:37:00,NA,2018-11-08 16:05:00,2018-11-16 12:27:00,2018-11-16 12:08:00,2018-11-10 12:22:00,2018-11-15 11:55:00,2018-11-09 16:54:00
"24","gtmfmnut1.1",2018-12-04 10:55:00,NA,2018-12-06 15:00:00,2018-12-10 15:55:00,2018-12-10 15:30:00,2018-12-07 05:03:00,2018-12-12 12:08:00,2018-12-06 14:08:00
"25","gtmfmnut1.2",2018-01-16 12:58:00,NA,2018-01-18 13:05:00,2018-01-23 09:03:00,2018-01-22 11:42:00,2018-01-20 09:56:00,2018-01-19 14:47:00,2018-01-19 14:32:00
"26","gtmfmnut1.2",2018-02-13 12:25:00,NA,2018-02-15 11:35:00,2018-02-21 09:37:00,2018-02-16 16:15:00,2018-02-22 06:58:00,2018-02-22 13:14:00,2018-02-15 15:00:00
"27","gtmfmnut1.2",2018-03-27 11:06:00,NA,2018-03-29 13:00:00,2018-03-30 11:52:00,2018-04-02 10:52:00,2018-04-05 13:26:00,2018-04-02 13:49:00,2018-03-30 16:30:00
"28","gtmfmnut1.2",2018-04-25 10:17:00,NA,2018-04-27 15:25:00,2018-05-01 09:28:00,2018-05-01 09:03:00,2018-05-01 06:36:00,2018-05-02 11:43:00,2018-04-30 14:05:00
"29","gtmfmnut1.2",2018-05-29 13:30:00,NA,2018-06-01 11:35:00,2018-06-12 11:36:00,2018-06-07 14:19:00,2018-06-07 06:26:00,2018-06-08 12:11:00,2018-06-01 16:15:00
"30","gtmfmnut1.2",2018-06-12 11:53:00,NA,2018-06-14 10:00:00,2018-06-26 15:51:00,2018-06-26 15:10:00,2018-06-19 07:16:00,2018-06-21 10:01:00,2018-06-15 16:52:00
"31","gtmfmnut1.2",2018-07-24 11:50:00,NA,2018-07-26 12:10:00,2018-07-30 14:46:00,2018-07-30 14:28:00,2018-07-27 06:21:00,2018-07-30 13:46:00,2018-07-28 23:02:00
"32","gtmfmnut1.2",2018-08-07 10:08:00,NA,2018-08-09 13:30:00,2018-08-14 13:13:00,2018-08-14 12:30:00,2018-08-10 11:28:00,2018-08-14 12:02:00,2018-08-10 16:03:00
"33","gtmfmnut1.2",2018-09-05 09:46:00,NA,2018-09-07 13:25:00,2018-09-12 09:19:00,2018-09-10 12:31:00,2018-09-20 10:00:00,2018-09-11 11:31:00,2018-09-10 13:20:00
"34","gtmfmnut1.2",2018-10-23 09:13:00,NA,2018-10-25 13:00:00,2018-10-31 10:49:00,2018-10-30 12:20:00,2018-11-01 06:30:00,2018-10-26 14:01:00,2018-10-25 15:41:00
"35","gtmfmnut1.2",2018-11-06 11:38:00,NA,2018-11-08 16:05:00,2018-11-16 12:28:00,2018-11-16 12:10:00,2018-11-10 12:34:00,2018-11-15 11:56:00,2018-11-09 16:54:00
