"","SampleID","DateSampled","Component","MDL","Units"
"1","gtmfmnut1.1",2018-01-16 12:56:00,"Kjeldahl Nitrogen Filtered",0.16,"mg N/L"
"2","gtmfmnut1.2",2018-01-16 12:58:00,"Kjeldahl Nitrogen Filtered",0.16,"mg N/L"
"3","gtmpcnut1.1",2018-01-16 10:54:00,"Kjeldahl Nitrogen Filtered",0.16,"mg N/L"
"4","gtmpcnut1.2",2018-01-16 10:57:00,"Kjeldahl Nitrogen Filtered",0.16,"mg N/L"
"5","gtmpcnut2.1",2018-01-15 09:30:00,"Kjeldahl Nitrogen Filtered",0.08,"mg N/L"
"6","gtmpinut1.1",2018-01-16 10:23:00,"Kjeldahl Nitrogen Filtered",0.16,"mg N/L"
"7","gtmpinut1.2",2018-01-16 10:26:00,"Kjeldahl Nitrogen Filtered",0.16,"mg N/L"
"8","gtmssnut1.1",2018-01-16 11:38:00,"Kjeldahl Nitrogen Filtered",0.16,"mg N/L"
"9","gtmssnut1.2",2018-01-16 11:40:00,"Kjeldahl Nitrogen Filtered",0.16,"mg N/L"
"10","gtmfmnut1.1",2018-02-13 12:23:00,"Kjeldahl Nitrogen Filtered",0.16,"mg N/L"
"11","gtmfmnut1.2",2018-02-13 12:25:00,"Kjeldahl Nitrogen Filtered",0.16,"mg N/L"
"12","gtmpcnut1.1",2018-02-13 10:59:00,"Kjeldahl Nitrogen Filtered",0.08,"mg N/L"
"13","gtmpcnut1.2",2018-02-13 11:03:00,"Kjeldahl Nitrogen Filtered",0.08,"mg N/L"
"14","gtmpcnut2.1",2018-02-12 09:30:00,"Kjeldahl Nitrogen Filtered",0.08,"mg N/L"
"15","gtmpinut1.1",2018-02-13 09:13:00,"Kjeldahl Nitrogen Filtered",0.16,"mg N/L"
"16","gtmpinut1.2",2018-02-13 09:15:00,"Kjeldahl Nitrogen Filtered",0.16,"mg N/L"
"17","gtmssnut1.1",2018-02-13 10:51:00,"Kjeldahl Nitrogen Filtered",0.16,"mg N/L"
"18","gtmssnut1.2",2018-02-13 10:53:00,"Kjeldahl Nitrogen Filtered",0.16,"mg N/L"
