"","SampleID","DateSampled","Component","MDL","Units"
"1","fieldblank",2018-01-16 10:00:00,"Chlorophyll-a, Corrected",0.55,"ug/L"
"2","fieldblank",2018-01-16 10:00:00,"Chlorophyll-a, Uncorrected",0.4,"ug/L"
"3","fieldblank",2018-01-16 10:00:00,"Phaeophytin-a",0.4,"ug/L"
"4","gtmfmnut1.1",2018-01-16 12:56:00,"Chlorophyll-a, Corrected",0.55,"ug/L"
"5","gtmfmnut1.1",2018-01-16 12:56:00,"Chlorophyll-a, Uncorrected",0.4,"ug/L"
"6","gtmfmnut1.1",2018-01-16 12:56:00,"Phaeophytin-a",0.4,"ug/L"
"7","gtmfmnut1.2",2018-01-16 12:58:00,"Chlorophyll-a, Corrected",0.55,"ug/L"
"8","gtmfmnut1.2",2018-01-16 12:58:00,"Chlorophyll-a, Uncorrected",0.4,"ug/L"
"9","gtmfmnut1.2",2018-01-16 12:58:00,"Phaeophytin-a",0.4,"ug/L"
"10","gtmpcnut1.1",2018-01-16 10:54:00,"Chlorophyll-a, Corrected",0.55,"ug/L"
"11","gtmpcnut1.1",2018-01-16 10:54:00,"Chlorophyll-a, Corrected",0.92,"ug/L"
"12","gtmpcnut1.1",2018-01-16 10:54:00,"Chlorophyll-a, Uncorrected",0.4,"ug/L"
"13","gtmpcnut1.1",2018-01-16 10:54:00,"Chlorophyll-a, Uncorrected",0.67,"ug/L"
"14","gtmpcnut1.1",2018-01-16 10:54:00,"Phaeophytin-a",0.67,"ug/L"
"15","gtmpcnut1.1",2018-01-16 10:54:00,"Phaeophytin-a",0.4,"ug/L"
"16","gtmpcnut1.2",2018-01-16 10:57:00,"Chlorophyll-a, Corrected",0.55,"ug/L"
"17","gtmpcnut1.2",2018-01-16 10:57:00,"Chlorophyll-a, Uncorrected",0.4,"ug/L"
"18","gtmpcnut1.2",2018-01-16 10:57:00,"Phaeophytin-a",0.4,"ug/L"
"19","gtmpcnut2.1",2018-01-15 09:30:00,"Chlorophyll-a, Corrected",0.55,"ug/L"
"20","gtmpcnut2.1",2018-01-15 09:30:00,"Chlorophyll-a, Uncorrected",0.4,"ug/L"
"21","gtmpcnut2.1",2018-01-15 09:30:00,"Phaeophytin-a",0.4,"ug/L"
"22","gtmpcnut2.10",2018-01-16 08:00:00,"Chlorophyll-a, Corrected",0.55,"ug/L"
"23","gtmpcnut2.10",2018-01-16 08:00:00,"Chlorophyll-a, Uncorrected",0.4,"ug/L"
"24","gtmpcnut2.10",2018-01-16 08:00:00,"Phaeophytin-a",0.4,"ug/L"
"25","gtmpcnut2.11",2018-01-16 10:30:00,"Chlorophyll-a, Corrected",0.73,"ug/L"
"26","gtmpcnut2.11",2018-01-16 10:30:00,"Chlorophyll-a, Uncorrected",0.53,"ug/L"
"27","gtmpcnut2.11",2018-01-16 10:30:00,"Phaeophytin-a",0.53,"ug/L"
"28","gtmpcnut2.2",2018-01-15 12:00:00,"Chlorophyll-a, Corrected",0.55,"ug/L"
"29","gtmpcnut2.2",2018-01-15 12:00:00,"Chlorophyll-a, Uncorrected",0.4,"ug/L"
"30","gtmpcnut2.2",2018-01-15 12:00:00,"Phaeophytin-a",0.4,"ug/L"
"31","gtmpcnut2.3",2018-01-15 14:30:00,"Chlorophyll-a, Corrected",0.55,"ug/L"
"32","gtmpcnut2.3",2018-01-15 14:30:00,"Chlorophyll-a, Uncorrected",0.4,"ug/L"
"33","gtmpcnut2.3",2018-01-15 14:30:00,"Phaeophytin-a",0.4,"ug/L"
"34","gtmpcnut2.4",2018-01-15 17:00:00,"Chlorophyll-a, Corrected",0.55,"ug/L"
"35","gtmpcnut2.4",2018-01-15 17:00:00,"Chlorophyll-a, Uncorrected",0.4,"ug/L"
"36","gtmpcnut2.4",2018-01-15 17:00:00,"Phaeophytin-a",0.4,"ug/L"
"37","gtmpcnut2.5",2018-01-15 19:30:00,"Chlorophyll-a, Corrected",0.55,"ug/L"
"38","gtmpcnut2.5",2018-01-15 19:30:00,"Chlorophyll-a, Uncorrected",0.4,"ug/L"
"39","gtmpcnut2.5",2018-01-15 19:30:00,"Phaeophytin-a",0.4,"ug/L"
"40","gtmpcnut2.6",2018-01-15 22:00:00,"Chlorophyll-a, Corrected",0.55,"ug/L"
"41","gtmpcnut2.6",2018-01-15 22:00:00,"Chlorophyll-a, Uncorrected",0.4,"ug/L"
"42","gtmpcnut2.6",2018-01-15 22:00:00,"Phaeophytin-a",0.4,"ug/L"
"43","gtmpcnut2.7",2018-01-16 00:30:00,"Chlorophyll-a, Corrected",1,"ug/L"
"44","gtmpcnut2.7",2018-01-16 00:30:00,"Chlorophyll-a, Uncorrected",0.73,"ug/L"
"45","gtmpcnut2.7",2018-01-16 00:30:00,"Phaeophytin-a",0.73,"ug/L"
"46","gtmpcnut2.8",2018-01-16 03:00:00,"Chlorophyll-a, Corrected",0.55,"ug/L"
"47","gtmpcnut2.8",2018-01-16 03:00:00,"Chlorophyll-a, Uncorrected",0.4,"ug/L"
"48","gtmpcnut2.8",2018-01-16 03:00:00,"Phaeophytin-a",0.4,"ug/L"
"49","gtmpcnut2.9",2018-01-16 05:30:00,"Chlorophyll-a, Corrected",0.55,"ug/L"
"50","gtmpcnut2.9",2018-01-16 05:30:00,"Chlorophyll-a, Uncorrected",0.4,"ug/L"
"51","gtmpcnut2.9",2018-01-16 05:30:00,"Phaeophytin-a",0.4,"ug/L"
"52","gtmpinut1.1",2018-01-16 10:23:00,"Chlorophyll-a, Corrected",0.72,"ug/L"
"53","gtmpinut1.1",2018-01-16 10:23:00,"Chlorophyll-a, Uncorrected",0.53,"ug/L"
"54","gtmpinut1.1",2018-01-16 10:23:00,"Phaeophytin-a",0.53,"ug/L"
"55","gtmpinut1.2",2018-01-16 10:26:00,"Chlorophyll-a, Corrected",0.82,"ug/L"
"56","gtmpinut1.2",2018-01-16 10:26:00,"Chlorophyll-a, Uncorrected",0.6,"ug/L"
"57","gtmpinut1.2",2018-01-16 10:26:00,"Phaeophytin-a",0.6,"ug/L"
"58","gtmssnut1.1",2018-01-16 11:38:00,"Chlorophyll-a, Corrected",0.82,"ug/L"
"59","gtmssnut1.1",2018-01-16 11:38:00,"Chlorophyll-a, Uncorrected",0.6,"ug/L"
"60","gtmssnut1.1",2018-01-16 11:38:00,"Phaeophytin-a",0.6,"ug/L"
"61","gtmssnut1.2",2018-01-16 11:40:00,"Chlorophyll-a, Corrected",0.76,"ug/L"
"62","gtmssnut1.2",2018-01-16 11:40:00,"Chlorophyll-a, Uncorrected",0.55,"ug/L"
"63","gtmssnut1.2",2018-01-16 11:40:00,"Phaeophytin-a",0.55,"ug/L"
"64","fieldblank",2018-02-13 09:07:00,"Chlorophyll-a, Corrected",0.55,"ug/L"
"65","fieldblank",2018-02-13 09:07:00,"Chlorophyll-a, Uncorrected",0.4,"ug/L"
"66","fieldblank",2018-02-13 09:07:00,"Phaeophytin-a",0.4,"ug/L"
"67","gtmfmnut1.1",2018-02-13 12:23:00,"Chlorophyll-a, Corrected",0.55,"ug/L"
"68","gtmfmnut1.1",2018-02-13 12:23:00,"Chlorophyll-a, Uncorrected",0.4,"ug/L"
"69","gtmfmnut1.1",2018-02-13 12:23:00,"Phaeophytin-a",0.4,"ug/L"
"70","gtmfmnut1.2",2018-02-13 12:25:00,"Chlorophyll-a, Corrected",0.55,"ug/L"
"71","gtmfmnut1.2",2018-02-13 12:25:00,"Chlorophyll-a, Uncorrected",0.4,"ug/L"
"72","gtmfmnut1.2",2018-02-13 12:25:00,"Phaeophytin-a",0.4,"ug/L"
"73","gtmpcnut1.1",2018-02-13 10:59:00,"Chlorophyll-a, Corrected",0.55,"ug/L"
"74","gtmpcnut1.1",2018-02-13 10:59:00,"Chlorophyll-a, Corrected",0.55,"ug/L"
"75","gtmpcnut1.1",2018-02-13 10:59:00,"Chlorophyll-a, Uncorrected",0.4,"ug/L"
"76","gtmpcnut1.1",2018-02-13 10:59:00,"Chlorophyll-a, Uncorrected",0.4,"ug/L"
"77","gtmpcnut1.1",2018-02-13 10:59:00,"Phaeophytin-a",0.4,"ug/L"
"78","gtmpcnut1.1",2018-02-13 10:59:00,"Phaeophytin-a",0.4,"ug/L"
"79","gtmpcnut1.2",2018-02-13 11:03:00,"Chlorophyll-a, Corrected",0.55,"ug/L"
"80","gtmpcnut1.2",2018-02-13 11:03:00,"Chlorophyll-a, Uncorrected",0.4,"ug/L"
"81","gtmpcnut1.2",2018-02-13 11:03:00,"Phaeophytin-a",0.4,"ug/L"
"82","gtmpcnut2.1",2018-02-12 09:30:00,"Chlorophyll-a, Corrected",0.55,"ug/L"
"83","gtmpcnut2.1",2018-02-12 09:30:00,"Chlorophyll-a, Uncorrected",0.4,"ug/L"
"84","gtmpcnut2.1",2018-02-12 09:30:00,"Phaeophytin-a",0.4,"ug/L"
"85","gtmpcnut2.10",2018-02-13 08:00:00,"Chlorophyll-a, Corrected",0.55,"ug/L"
"86","gtmpcnut2.10",2018-02-13 08:00:00,"Chlorophyll-a, Uncorrected",0.4,"ug/L"
"87","gtmpcnut2.10",2018-02-13 08:00:00,"Phaeophytin-a",0.4,"ug/L"
"88","gtmpcnut2.11",2018-02-13 10:30:00,"Chlorophyll-a, Corrected",0.55,"ug/L"
"89","gtmpcnut2.11",2018-02-13 10:30:00,"Chlorophyll-a, Uncorrected",0.4,"ug/L"
"90","gtmpcnut2.11",2018-02-13 10:30:00,"Phaeophytin-a",0.4,"ug/L"
"91","gtmpcnut2.2",2018-02-12 12:00:00,"Chlorophyll-a, Corrected",0.55,"ug/L"
"92","gtmpcnut2.2",2018-02-12 12:00:00,"Chlorophyll-a, Uncorrected",0.4,"ug/L"
"93","gtmpcnut2.2",2018-02-12 12:00:00,"Phaeophytin-a",0.4,"ug/L"
"94","gtmpcnut2.3",2018-02-12 14:30:00,"Chlorophyll-a, Corrected",0.55,"ug/L"
"95","gtmpcnut2.3",2018-02-12 14:30:00,"Chlorophyll-a, Uncorrected",0.4,"ug/L"
"96","gtmpcnut2.3",2018-02-12 14:30:00,"Phaeophytin-a",0.4,"ug/L"
"97","gtmpcnut2.4",2018-02-12 17:00:00,"Chlorophyll-a, Corrected",0.55,"ug/L"
"98","gtmpcnut2.4",2018-02-12 17:00:00,"Chlorophyll-a, Uncorrected",0.4,"ug/L"
"99","gtmpcnut2.4",2018-02-12 17:00:00,"Phaeophytin-a",0.4,"ug/L"
"100","gtmpcnut2.5",2018-02-12 19:30:00,"Chlorophyll-a, Corrected",0.55,"ug/L"
"101","gtmpcnut2.5",2018-02-12 19:30:00,"Chlorophyll-a, Uncorrected",0.4,"ug/L"
"102","gtmpcnut2.5",2018-02-12 19:30:00,"Phaeophytin-a",0.4,"ug/L"
"103","gtmpcnut2.6",2018-02-12 22:00:00,"Chlorophyll-a, Corrected",0.55,"ug/L"
"104","gtmpcnut2.6",2018-02-12 22:00:00,"Chlorophyll-a, Uncorrected",0.4,"ug/L"
"105","gtmpcnut2.6",2018-02-12 22:00:00,"Phaeophytin-a",0.4,"ug/L"
"106","gtmpcnut2.7",2018-02-13 00:30:00,"Chlorophyll-a, Corrected",0.55,"ug/L"
"107","gtmpcnut2.7",2018-02-13 00:30:00,"Chlorophyll-a, Uncorrected",0.4,"ug/L"
"108","gtmpcnut2.7",2018-02-13 00:30:00,"Phaeophytin-a",0.4,"ug/L"
"109","gtmpcnut2.8",2018-02-13 03:00:00,"Chlorophyll-a, Corrected",0.79,"ug/L"
"110","gtmpcnut2.8",2018-02-13 03:00:00,"Chlorophyll-a, Uncorrected",0.57,"ug/L"
"111","gtmpcnut2.8",2018-02-13 03:00:00,"Phaeophytin-a",0.57,"ug/L"
"112","gtmpcnut2.9",2018-02-13 05:30:00,"Chlorophyll-a, Corrected",0.55,"ug/L"
"113","gtmpcnut2.9",2018-02-13 05:30:00,"Chlorophyll-a, Uncorrected",0.4,"ug/L"
"114","gtmpcnut2.9",2018-02-13 05:30:00,"Phaeophytin-a",0.4,"ug/L"
"115","gtmpinut1.1",2018-02-13 09:13:00,"Chlorophyll-a, Corrected",0.55,"ug/L"
"116","gtmpinut1.1",2018-02-13 09:13:00,"Chlorophyll-a, Uncorrected",0.4,"ug/L"
"117","gtmpinut1.1",2018-02-13 09:13:00,"Phaeophytin-a",0.4,"ug/L"
"118","gtmpinut1.2",2018-02-13 09:15:00,"Chlorophyll-a, Corrected",0.55,"ug/L"
"119","gtmpinut1.2",2018-02-13 09:15:00,"Chlorophyll-a, Uncorrected",0.4,"ug/L"
"120","gtmpinut1.2",2018-02-13 09:15:00,"Phaeophytin-a",0.4,"ug/L"
"121","gtmssnut1.1",2018-02-13 10:51:00,"Chlorophyll-a, Corrected",0.55,"ug/L"
"122","gtmssnut1.1",2018-02-13 10:51:00,"Chlorophyll-a, Uncorrected",0.4,"ug/L"
"123","gtmssnut1.1",2018-02-13 10:51:00,"Phaeophytin-a",0.4,"ug/L"
"124","gtmssnut1.2",2018-02-13 10:53:00,"Chlorophyll-a, Corrected",0.55,"ug/L"
"125","gtmssnut1.2",2018-02-13 10:53:00,"Chlorophyll-a, Uncorrected",0.4,"ug/L"
"126","gtmssnut1.2",2018-02-13 10:53:00,"Phaeophytin-a",0.4,"ug/L"
"127","fieldblank",2018-03-27 08:05:00,"Chlorophyll-a, Corrected",0.55,"ug/L"
"128","fieldblank",2018-03-27 08:05:00,"Chlorophyll-a, Uncorrected",0.4,"ug/L"
"129","fieldblank",2018-03-27 08:05:00,"Phaeophytin-a",0.4,"ug/L"
"130","gtmfmnut1.1",2018-03-27 11:04:00,"Chlorophyll-a, Corrected",0.55,"ug/L"
"131","gtmfmnut1.1",2018-03-27 11:04:00,"Chlorophyll-a, Uncorrected",0.4,"ug/L"
"132","gtmfmnut1.1",2018-03-27 11:04:00,"Phaeophytin-a",0.4,"ug/L"
"133","gtmfmnut1.2",2018-03-27 11:06:00,"Chlorophyll-a, Corrected",0.55,"ug/L"
"134","gtmfmnut1.2",2018-03-27 11:06:00,"Chlorophyll-a, Uncorrected",0.4,"ug/L"
"135","gtmfmnut1.2",2018-03-27 11:06:00,"Phaeophytin-a",0.4,"ug/L"
"136","gtmpcnut1.1",2018-03-27 11:01:00,"Chlorophyll-a, Corrected",0.55,"ug/L"
"137","gtmpcnut1.1",2018-03-27 11:01:00,"Chlorophyll-a, Uncorrected",0.4,"ug/L"
"138","gtmpcnut1.1",2018-03-27 11:01:00,"Phaeophytin-a",0.4,"ug/L"
"139","gtmpcnut1.1",2018-03-27 11:01:00,"Chlorophyll-a, Corrected",0.55,"ug/L"
"140","gtmpcnut1.1",2018-03-27 11:01:00,"Chlorophyll-a, Uncorrected",0.4,"ug/L"
"141","gtmpcnut1.1",2018-03-27 11:01:00,"Phaeophytin-a",0.4,"ug/L"
"142","gtmpcnut1.2",2018-03-27 11:06:00,"Chlorophyll-a, Corrected",0.55,"ug/L"
"143","gtmpcnut1.2",2018-03-27 11:06:00,"Chlorophyll-a, Uncorrected",0.4,"ug/L"
"144","gtmpcnut1.2",2018-03-27 11:06:00,"Phaeophytin-a",0.4,"ug/L"
"145","gtmpcnut2.1",2018-03-26 09:30:00,"Chlorophyll-a, Corrected",0.61,"ug/L"
"146","gtmpcnut2.1",2018-03-26 09:30:00,"Chlorophyll-a, Uncorrected",0.44,"ug/L"
"147","gtmpcnut2.1",2018-03-26 09:30:00,"Phaeophytin-a",0.44,"ug/L"
"148","gtmpcnut2.10",2018-03-27 08:00:00,"Chlorophyll-a, Corrected",0.55,"ug/L"
"149","gtmpcnut2.10",2018-03-27 08:00:00,"Chlorophyll-a, Uncorrected",0.4,"ug/L"
"150","gtmpcnut2.10",2018-03-27 08:00:00,"Phaeophytin-a",0.4,"ug/L"
"151","gtmpcnut2.11",2018-03-27 10:30:00,"Chlorophyll-a, Corrected",0.55,"ug/L"
"152","gtmpcnut2.11",2018-03-27 10:30:00,"Chlorophyll-a, Uncorrected",0.4,"ug/L"
"153","gtmpcnut2.11",2018-03-27 10:30:00,"Phaeophytin-a",0.4,"ug/L"
"154","gtmpcnut2.2",2018-03-26 12:00:00,"Chlorophyll-a, Corrected",0.69,"ug/L"
"155","gtmpcnut2.2",2018-03-26 12:00:00,"Chlorophyll-a, Uncorrected",0.5,"ug/L"
"156","gtmpcnut2.2",2018-03-26 12:00:00,"Phaeophytin-a",0.5,"ug/L"
"157","gtmpcnut2.3",2018-03-26 14:30:00,"Chlorophyll-a, Corrected",0.55,"ug/L"
