"","SampleID","DateSampled","Component","MDL","Units"
"1","gtmpcnut1.1",2018-01-16 10:54:00,"Chlorophyll-a, Corrected",0.92,"ug/L"
"2","gtmpcnut2.11",2018-01-16 10:30:00,"Chlorophyll-a, Corrected",0.73,"ug/L"
"3","gtmpcnut2.7",2018-01-16 00:30:00,"Chlorophyll-a, Corrected",1,"ug/L"
"4","gtmpinut1.1",2018-01-16 10:23:00,"Chlorophyll-a, Corrected",0.72,"ug/L"
"5","gtmpinut1.2",2018-01-16 10:26:00,"Chlorophyll-a, Corrected",0.82,"ug/L"
"6","gtmssnut1.1",2018-01-16 11:38:00,"Chlorophyll-a, Corrected",0.82,"ug/L"
"7","gtmssnut1.2",2018-01-16 11:40:00,"Chlorophyll-a, Corrected",0.76,"ug/L"
"8","gtmpcnut2.8",2018-02-13 03:00:00,"Chlorophyll-a, Corrected",0.79,"ug/L"
"9","gtmpcnut2.1",2018-03-26 09:30:00,"Chlorophyll-a, Corrected",0.61,"ug/L"
"10","gtmpcnut2.2",2018-03-26 12:00:00,"Chlorophyll-a, Corrected",0.69,"ug/L"
"11","gtmpcnut2.4",2018-03-26 17:00:00,"Chlorophyll-a, Corrected",0.62,"ug/L"
"12","gtmpcnut2.8",2018-03-27 03:00:00,"Chlorophyll-a, Corrected",1.1,"ug/L"
"13","gtmpcnut2.10",2018-04-25 08:00:00,"Chlorophyll-a, Corrected",0.98,"ug/L"
"14","gtmpcnut2.11",2018-04-25 10:30:00,"Chlorophyll-a, Corrected",1,"ug/L"
"15","gtmpcnut2.6",2018-04-24 22:00:00,"Chlorophyll-a, Corrected",0.79,"ug/L"
"16","gtmpcnut2.8",2018-04-25 03:00:00,"Chlorophyll-a, Corrected",0.63,"ug/L"
"17","gtmpcnut2.9",2018-04-25 05:30:00,"Chlorophyll-a, Corrected",1,"ug/L"
"18","gtmpcnut1.1",2018-04-25 09:33:00,"Chlorophyll-a, Corrected",1,"ug/L"
"19","fieldblank",2018-05-29 10:16:00,"Chlorophyll-a, Corrected",0.62,"ug/L"
"20","gtmfmnut1.1",2018-05-29 13:27:00,"Chlorophyll-a, Corrected",0.92,"ug/L"
"21","gtmfmnut1.2",2018-05-29 13:30:00,"Chlorophyll-a, Corrected",0.79,"ug/L"
"22","gtmpcnut1.1",2018-05-29 11:59:00,"Chlorophyll-a, Corrected",1.1,"ug/L"
"23","gtmpcnut1.1",2018-05-29 11:59:00,"Chlorophyll-a, Corrected",1.1,"ug/L"
"24","gtmpcnut1.2",2018-05-29 12:03:00,"Chlorophyll-a, Corrected",1.1,"ug/L"
"25","gtmpcnut2.1",2018-05-28 09:30:00,"Chlorophyll-a, Corrected",0.92,"ug/L"
"26","gtmpcnut2.10",2018-05-29 08:00:00,"Chlorophyll-a, Corrected",0.79,"ug/L"
"27","gtmpcnut2.11",2018-05-29 10:30:00,"Chlorophyll-a, Corrected",1.1,"ug/L"
"28","gtmpcnut2.2",2018-05-28 12:00:00,"Chlorophyll-a, Corrected",0.79,"ug/L"
"29","gtmpcnut2.3",2018-05-28 14:30:00,"Chlorophyll-a, Corrected",0.92,"ug/L"
"30","gtmpcnut2.4",2018-05-28 17:00:00,"Chlorophyll-a, Corrected",0.92,"ug/L"
"31","gtmpcnut2.5",2018-05-28 19:30:00,"Chlorophyll-a, Corrected",0.92,"ug/L"
"32","gtmpcnut2.6",2018-05-28 22:00:00,"Chlorophyll-a, Corrected",1.1,"ug/L"
