"","stationcode","datetimestamp","monitoringprogram","replicate","F_Record","PO4F","F_PO4F","TP","F_TP","NH4F","F_NH4F","NO2F","F_NO2F","NO3F","F_NO3F","NO23F","F_NO23F","DIN","F_DIN","TN","F_TN","TKN","F_TKN","TON","FTON","CHLA_N1","F_CHLAN1","2CHLA","F_2CHLA","UncCHLa_N1","F_UncCHLa_N1","2UncCHLa","F_2UncCHLa","PHEA1","F_PHEA1","2PHEA","F_2PHEA","TSS","F_TSS","FECCOL_CFU","F_FECCOL_CFU","ECOLI_MPN","F_ECOLI_MPN","WTEM_N","FWTEM_N","SPC","F_SPC","DO_N","F_DO_N","PH","F_PH","SECCHI","F_SECCHI","DOC","F_DOC","TKN_F","F_TKN_F","DON","F_DON","NP"
"1","fieldblank",2018-01-16 10:00:00,NA,NA,NA,"0.004","U",0.002,"I",0.002,"U","0.002","U","0.004","U",0.004,"U",0.006,NA,0.084,NA,0.08,"U",0.078,NA,"0.55","U",NA,NA,"0.40","U",NA,NA,"0.40","U",NA,NA,"2","U","1","UQ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,42
"2","fieldblank",2018-02-13 09:07:00,NA,NA,NA,"0.004","UA",0.002,"I",0.002,"U","0.002","U","0.004","U",0.004,"U",0.006,NA,0.084,NA,0.08,"U",0.078,NA,"0.55","U",NA,NA,"0.40","U",NA,NA,"0.40","U",NA,NA,"2","U","1","UQ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,42
"3","fieldblank",2018-03-27 08:05:00,NA,NA,NA,"0.004","U",0.002,"I",0.002,"UY","0.002","U","0.004","U",0.004,"UY",0.006,NA,0.084,NA,0.08,"U",0.078,NA,"0.55","U",NA,NA,"0.40","U",NA,NA,"0.40","U",NA,NA,"2","U","1","UQ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,42
"4","fieldblank",2018-04-25 07:53:00,NA,NA,NA,"0.004","U",0.003,"IY",0.002,"UY","0.002","U","0.004","UY",0.004,"UY",0.006,NA,0.084,NA,0.08,"UY",0.078,NA,"0.55","U",NA,NA,"0.40","U",NA,NA,"0.40","U",NA,NA,"2","U","1","UQ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28
"5","fieldblank",2018-05-29 10:16:00,NA,NA,NA,"0.004","U",0.002,"I",0.002,"U","0.002","U","0.004","U",0.004,"U",0.006,NA,0.084,NA,0.08,"U",0.078,NA,"0.62","U",NA,NA,"0.45","U",NA,NA,"0.45","U",NA,NA,"2","U","1","UQ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,42
"6","fieldblank",2018-06-12 09:30:00,NA,NA,NA,"0.004","U",0.002,"U",0.002,"U","0.002","U","0.004","U",0.004,"U",0.006,NA,0.084,NA,0.08,"U",0.078,NA,"0.55","U",NA,NA,"0.40","U",NA,NA,"0.40","U",NA,NA,"2","U","1","UQ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,42
"7","fieldblank",2018-07-24 09:10:00,NA,NA,NA,"0.004","U",0.002,"U",0.002,"U","0.002","U","0.004","U",0.004,"U",0.006,NA,0.084,NA,0.08,"U",0.078,NA,"0.55","U",NA,NA,"0.40","U",NA,NA,"0.40","U",NA,NA,"2","U","1","UQ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,42
"8","fieldblank",2018-08-07 07:30:00,NA,NA,NA,"0.004","U",0.002,"U",0.002,"U","0.002","U","0.004","U",0.004,"U",0.006,NA,0.084,NA,0.08,"U",0.078,NA,"0.55","U",NA,NA,"0.40","U",NA,NA,"0.40","U",NA,NA,"2","U","1","UQ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,42
"9","fieldblank",2018-09-05 07:15:00,NA,NA,NA,"0.004","U",0.002,"U",0.002,"U","0.002","U","0.004","U",0.004,"U",0.006,NA,0.084,NA,0.08,"U",0.078,NA,"0.55","U",NA,NA,"0.40","U",NA,NA,"0.40","U",NA,NA,"2","U","1","UQ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,42
"10","fieldblank",2018-10-23 09:06:00,NA,NA,NA,"0.004","U",0.002,"UY",0.002,"UY","0.002","U","0.004","UY",0.004,"UY",0.006,NA,0.084,NA,0.08,"UY",0.078,NA,"0.55","U",NA,NA,"0.40","U",NA,NA,"0.60","U",NA,NA,"2","U","1","UQ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,42
"11","fieldblank",2018-11-06 08:50:00,NA,NA,NA,"0.004","U",0.002,"U",0.002,"U","0.002","U","0.004","U",0.004,"U",0.006,NA,0.084,NA,0.08,"U",0.078,NA,"0.55","U",NA,NA,"0.40","U",NA,NA,"0.60","U",NA,NA,"2","U","1","UQ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,42
"12","fieldblank",2018-12-04 08:25:00,NA,NA,NA,"0.004","U",0.002,"UY",0.002,"U","0.002","U","0.004","U",0.004,"U",0.006,NA,0.084,NA,0.08,"UY",0.078,NA,"0.69","U",NA,NA,"0.50","U",NA,NA,"0.75","U",NA,NA,"2","U",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,42
"13","gtmfmnut",2018-01-16 12:56:00,"1","1",NA,"0.017",NA,0.035,NA,0.01,NA,"0.002","U","0.012",NA,0.012,NA,0.022,NA,0.332,NA,0.32,"I",0.31,NA,"1.6","I",NA,NA,"2.0",NA,NA,NA,"0.47","I",NA,NA,"5","I","6","BQ",NA,NA,"12.2",NA,"48360",NA,"10.59",NA,"7.48",NA,NA,NA,"4.6",NA,0.35,"I",0.34,NA,9.48571428571429
"14","gtmfmnut",2018-02-13 12:23:00,"1","1",NA,"0.017",NA,0.039,NA,0.018,NA,"0.002","U","0.005","I",0.006,"I",0.024,NA,0.426,NA,0.42,NA,0.402,NA,"1.6","I",NA,NA,"2.3",NA,NA,NA,"1.1","I",NA,NA,"10",NA,"25","BQ",NA,NA,"19.7",NA,"47680",NA,"6.67",NA,"7.69",NA,NA,NA,"4.6",NA,0.38,"I",0.362,NA,10.9230769230769
"15","gtmfmnut",2018-03-27 11:04:00,"1","1",NA,"0.015",NA,0.033,NA,0.014,NA,"0.002","U","0.015",NA,0.015,NA,0.029,NA,0.275,NA,0.26,"I",0.246,NA,"2.3",NA,NA,NA,"2.6",NA,NA,NA,"0.40","U",NA,NA,"10","I","7","BQ",NA,NA,"18.2",NA,"52300",NA,"7.37",NA,"7.48",NA,NA,NA,"3.0",NA,0.36,"I",0.346,NA,8.33333333333333
"16","gtmfmnut",2018-04-25 10:15:00,"1","1",NA,"0.013",NA,0.041,NA,0.027,NA,"0.002","U","0.007","I",0.007,"I",0.034,NA,0.347,NA,0.34,"I",0.313,NA,"2.5",NA,NA,NA,"3.0",NA,NA,NA,"0.74","I",NA,NA,"13",NA,"5","BQ",NA,NA,"21.5",NA,"51846",NA,"6.98",NA,"7.59",NA,NA,NA,"2.8",NA,0.3,"I",0.273,NA,8.46341463414634
"17","gtmfmnut",2018-05-29 13:27:00,"1","1",NA,"0.015",NA,0.064,NA,0.023,NA,"0.002","I","0.005","I",0.007,"I",0.03,NA,0.527,NA,0.52,NA,0.497,NA,"16",NA,NA,NA,"18",NA,NA,NA,"3.2",NA,NA,NA,"20",NA,"6","BQ",NA,NA,"26.4",NA,"44611",NA,"5.78",NA,"7.53",NA,NA,NA,"6.2",NA,0.34,"I",0.317,NA,8.234375
"18","gtmfmnut",2018-06-12 11:50:00,"1","1",NA,"0.030",NA,0.068,NA,0.086,NA,"0.004","I","0.017",NA,0.021,NA,0.107,NA,0.621,NA,0.6,NA,0.514,NA,"6.3",NA,NA,NA,"7.5",NA,NA,NA,"1.6","I",NA,NA,"16",NA,"11","BQ",NA,NA,"27.2",NA,"47038",NA,"5.04",NA,"7.54",NA,NA,NA,"5.6",NA,0.41,NA,0.324,NA,9.13235294117647
"19","gtmfmnut",2018-07-24 11:48:00,"1","1",NA,"0.024",NA,0.063,"J",0.062,NA,"0.003","I","0.018",NA,0.02,NA,0.082,NA,0.43,NA,0.41,NA,0.348,NA,"4.5",NA,NA,NA,"5.7",NA,NA,NA,"1.6",NA,NA,NA,"16",NA,"7","BQ",NA,NA,"26.9",NA,"53212",NA,"4.77",NA,"7.60",NA,NA,NA,"3.3",NA,0.27,"I",0.208,NA,6.82539682539683
"20","gtmfmnut",2018-08-07 10:06:00,"1","1",NA,"0.026",NA,0.064,NA,0.059,NA,"0.002","I","0.009","I",0.011,NA,0.07,NA,0.651,NA,0.64,NA,0.581,NA,"6.0",NA,NA,NA,"8.0",NA,NA,NA,"3.0",NA,NA,NA,"15",NA,"5","BQ",NA,NA,"29.6",NA,"45876",NA,"4.07",NA,"7.69",NA,NA,NA,"7.1",NA,0.38,"I",0.321,NA,10.171875
"21","gtmfmnut",2018-09-05 09:40:00,"1","1",NA,"0.022",NA,0.051,NA,0.033,NA,"0.002","U","0.010","I",0.012,NA,0.045,NA,0.372,NA,0.36,"I",0.327,NA,"4.9",NA,NA,NA,"5.7",NA,NA,NA,"1.1","I",NA,NA,"10","IAQ","9","UQ",NA,NA,"28.1",NA,"53340",NA,"4.96",NA,"7.88",NA,NA,NA,"2.6",NA,0.24,"I",0.207,NA,7.29411764705882
"22","gtmfmnut",2018-10-23 09:09:00,"1","1",NA,"0.012",NA,0.036,NA,0.018,NA,"0.007",NA,"0.004","U",0.01,"I",0.028,NA,0.3,NA,0.29,"I",0.272,NA,"3.9",NA,NA,NA,"4.6",NA,NA,NA,"0.88","I",NA,NA,"9","I","2","UQ",NA,NA,"25.2",NA,"53990",NA,"5.97",NA,"8.02",NA,NA,NA,"2.0",NA,0.28,"I",0.262,NA,8.33333333333333
"23","gtmfmnut",2018-11-06 11:37:00,"1","1",NA,"0.017",NA,0.047,NA,0.021,NA,"0.002","I","0.008","I",0.01,"I",0.031,NA,0.42,NA,0.41,NA,0.389,NA,"3.8",NA,NA,NA,"4.4",NA,NA,NA,"0.77","I",NA,NA,"10",NA,"13","BQ",NA,NA,"24.8",NA,"53895",NA,"5.43",NA,"7.97",NA,NA,NA,"2.4",NA,0.24,"I",0.219,NA,8.93617021276596
"24","gtmfmnut",2018-12-04 10:55:00,"1","1",NA,"0.020",NA,0.043,NA,0.047,NA,"0.003","I","0.15",NA,0.15,NA,0.197,NA,0.63,NA,0.48,NA,0.433,NA,"2.2",NA,NA,NA,"2.7",NA,NA,NA,"0.74","I",NA,NA,"11","A","10","BQ",NA,NA,"20.5",NA,"50659",NA,"6.16",NA,"7.91",NA,NA,NA,"3.6",NA,0.35,"I",0.303,NA,14.6511627906977
"25","gtmfmnut",2018-01-16 12:58:00,"1","2",NA,"0.018",NA,0.035,NA,0.008,NA,"0.002","U","0.011",NA,0.011,NA,0.019,NA,0.301,NA,0.29,"I",0.282,NA,"1.3","I",NA,NA,"1.6",NA,NA,NA,"0.40","U",NA,NA,"7","I","10","BQ",NA,NA,"12.2",NA,"48360",NA,"10.59",NA,"7.48",NA,NA,NA,"4.8",NA,0.31,"I",0.302,NA,8.6
"26","gtmfmnut",2018-02-13 12:25:00,"1","2",NA,"0.016",NA,0.04,NA,0.019,NA,"0.002","U","0.006","I",0.007,"I",0.026,NA,0.407,NA,0.4,NA,0.381,NA,"1.9",NA,NA,NA,"2.5","A",NA,NA,"1.1","I",NA,NA,"10",NA,"13","BQ",NA,NA,"19.7",NA,"47680",NA,"6.67",NA,"7.69",NA,NA,NA,"5.0",NA,0.34,"I",0.321,NA,10.175
"27","gtmfmnut",2018-03-27 11:06:00,"1","2",NA,"0.014",NA,0.036,NA,0.013,NA,"0.002","U","0.014",NA,0.014,NA,0.027,NA,0.194,NA,0.18,"I",0.167,NA,"2.0",NA,NA,NA,"2.2",NA,NA,NA,"0.40","U",NA,NA,"10",NA,"2","UQ",NA,NA,"18.2",NA,"52350",NA,"7.37",NA,"7.48",NA,NA,NA,"3.1",NA,0.33,"I",0.317,NA,5.38888888888889
"28","gtmfmnut",2018-04-25 10:17:00,"1","2",NA,"0.013",NA,0.04,NA,0.026,NA,"0.002","U","0.006","I",0.006,"I",0.032,NA,0.356,NA,0.35,"I",0.324,NA,"2.9",NA,NA,NA,"3.5",NA,NA,NA,"0.86","I",NA,NA,"14",NA,"2","BQ",NA,NA,"21.5",NA,"51846",NA,"6.98",NA,"7.59",NA,NA,NA,"2.9",NA,0.24,"I",0.214,NA,8.9
"29","gtmfmnut",2018-05-29 13:30:00,"1","2",NA,"0.017",NA,0.065,NA,0.024,NA,"0.003","I","0.004","I",0.007,"I",0.031,NA,0.617,NA,0.61,NA,0.586,NA,"15",NA,NA,NA,"17",NA,NA,NA,"3.5",NA,NA,NA,"20",NA,"8","BQ",NA,NA,"26.4",NA,"44611",NA,"5.78",NA,"7.53",NA,NA,NA,"6.3",NA,0.42,NA,0.396,NA,9.49230769230769
"30","gtmfmnut",2018-06-12 11:53:00,"1","2",NA,"0.027",NA,0.063,NA,0.087,NA,"0.004","IQ","0.014","Q",0.018,NA,0.105,NA,0.598,NA,0.58,NA,0.493,NA,"6.4",NA,NA,NA,"7.7",NA,NA,NA,"1.6",NA,NA,NA,"17",NA,"15","BQ",NA,NA,"27.2",NA,"47038",NA,"5.04",NA,"7.54",NA,NA,NA,"5.6",NA,0.46,NA,0.373,NA,9.49206349206349
"31","gtmfmnut",2018-07-24 11:50:00,"1","2",NA,"0.024",NA,0.061,NA,0.06,NA,"0.003","I","0.010",NA,0.014,NA,0.074,NA,0.394,NA,0.38,"I",0.32,NA,"5.2",NA,NA,NA,"6.5",NA,NA,NA,"1.9",NA,NA,NA,"16",NA,"2","BQ",NA,NA,"26.9",NA,"53212",NA,"4.77",NA,"7.60",NA,NA,NA,"3.2",NA,0.36,"I",0.3,NA,6.45901639344262
