"","request_id","site_location","storet_station","latitude","longitude","field_id","group_id","analysis","component","storet_parameter","result","remark","mdl","pql","units","test_comments","matrix","temperature","specificconductance","salinity","ph","dissolvedoxygen","sample_depth","batch_id","sample_id","preservation","reference_method","datetimestamp","receivetime","analyzetime"
"1","RQ-2019-09-23-02","field blank","",NA,NA,"fieldblank","CHEMISTRY","W-PO4-F","O-Phosphate-P",671,0.004,"U",0.004,0.01,"mg P/L","","W-FIELD-BK","","","",NA,"","","P372621",2128402,"FILTER-ICE","EPA 365.1 Rev. 2.0",2019-10-15 10:45:00,2019-10-16 10:05:00,2019-10-16 12:28:00
"2","RQ-2019-09-23-02","field blank","",NA,NA,"fieldblank","CHEMISTRY","W-NO2-F","Nitrite-N",613,0.002,"U",0.002,0.005,"mg N/L","","W-FIELD-BK","","","",NA,"","","P372842",2128402,"FILTER-ICE","EPA 353.2 Rev. 2.0",2019-10-15 10:45:00,2019-10-16 10:05:00,2019-10-16 14:18:00
"3","RQ-2019-09-23-02","field blank","",NA,NA,"fieldblank","CHEMISTRY","W-NO3-F","Nitrate-N",620,0.004,"U",0.004,0.01,"mg N/L","","W-FIELD-BK","","","",NA,"","","P373491",2128402,"FILTER-ICE","EPA 353.2 Rev. 2.0",2019-10-15 10:45:00,2019-10-16 10:05:00,2019-10-16 14:18:00
"4","RQ-2019-09-23-02","field blank","",NA,NA,"fieldblank","CHEMISTRY","TURBIDITY","Turbidity",76,0.1,"U",0.1,0.13,"NTU","","W-FIELD-BK","","","",NA,"","","P372601",2128400,"ICE","EPA 180.1 Rev. 2.0",2019-10-15 10:45:00,2019-10-16 10:05:00,2019-10-16 16:27:00
"5","RQ-2019-09-23-02","field blank","",NA,NA,"fieldblank","CHEMISTRY","W-NO2NO3-F","NO2NO3-N",631,0.004,"U",0.004,0.01,"mg N/L","","W-FIELD-BK","","","",NA,"","","P372731",2128401,"FILTER-H2SO4-ICE","EPA 353.2 Rev. 2.0",2019-10-15 10:45:00,2019-10-16 10:05:00,2019-10-17 11:56:00
"6","RQ-2019-09-23-02","field blank","",NA,NA,"fieldblank","BIOLOGY","FCOLI-MF","Fecal Coliforms-Membrane Filter",31616,1,"UQ",1,1,"cfu/100 mL","Precision data for QC sample is unavailable due to the colony count falling outside of method acceptable range.","W-FIELD-BK","","","",NA,"","","P373375",2128343,"ICE","SM 9222 D",2019-10-15 10:45:00,2019-10-16 10:05:00,2019-10-17 14:30:00
"7","RQ-2019-09-23-02","field blank","",NA,NA,"fieldblank","CHEMISTRY","W-TSS","TSS",530,2,"U",2,10,"mg/L","Batch relative percent difference is unavailable because of low analyte concentration in the QC sample.","W-FIELD-BK","","","",NA,"","","P373258",2128400,"ICE","SM 2540 D-97",2019-10-15 10:45:00,2019-10-16 10:05:00,2019-10-18 15:45:00
"8","RQ-2019-09-23-02","field blank","",NA,NA,"fieldblank","CHEMISTRY","W-NH3-F","Ammonia-N",608,0.002,"U",0.002,0.005,"mg N/L","","W-FIELD-BK","","","",NA,"","","P372885",2128401,"FILTER-H2SO4-ICE","EPA 350.1 Rev. 2.0",2019-10-15 10:45:00,2019-10-16 10:05:00,2019-10-21 14:42:00
"9","RQ-2019-09-23-02","field blank","",NA,NA,"fieldblank","CHEMISTRY","W-TKN","Kjeldahl Nitrogen",625,0.08,"U",0.08,0.2,"mg N/L","","W-FIELD-BK","","","",NA,"","","P372681",2128403,"ICE And H2SO4","EPA 351.2 Rev. 2.0",2019-10-15 10:45:00,2019-10-16 10:05:00,2019-10-22 21:26:00
"10","RQ-2019-09-23-02","field blank","",NA,NA,"fieldblank","CHEMISTRY","W-S-A-TP","Total-P",665,0.002,"U",0.002,0.005,"mg P/L","","W-FIELD-BK","","","",NA,"","","P372743",2128403,"ICE And H2SO4","EPA 365.1 Rev. 2.0",2019-10-15 10:45:00,2019-10-16 10:05:00,2019-10-23 16:04:00
