"","stationcode","monitoringprogram","date","CHLA","CHLA_sd","Fecal","Fecal_sd","TN","TN_sd","TP","TP_sd"
"1","fieldblank",NA,2018-01-15 19:00:00,0.55,NA,1,NA,0.084,NA,0.002,NA
"2","fieldblank",NA,2018-02-12 19:00:00,0.55,NA,1,NA,0.084,NA,0.002,NA
"3","fieldblank",NA,2018-03-26 20:00:00,0.55,NA,1,NA,0.084,NA,0.002,NA
"4","fieldblank",NA,2018-04-24 20:00:00,0.55,NA,1,NA,0.084,NA,0.003,NA
"5","fieldblank",NA,2018-05-28 20:00:00,0.62,NA,1,NA,0.084,NA,0.002,NA
"6","fieldblank",NA,2018-06-11 20:00:00,0.55,NA,1,NA,0.084,NA,0.002,NA
"7","fieldblank",NA,2018-07-23 20:00:00,0.55,NA,1,NA,0.084,NA,0.002,NA
"8","fieldblank",NA,2018-08-06 20:00:00,0.55,NA,1,NA,0.084,NA,0.002,NA
"9","fieldblank",NA,2018-09-04 20:00:00,0.55,NA,1,NA,0.084,NA,0.002,NA
"10","fieldblank",NA,2018-10-22 20:00:00,0.55,NA,1,NA,0.084,NA,0.002,NA
"11","fieldblank",NA,2018-11-05 19:00:00,0.55,NA,1,NA,0.084,NA,0.002,NA
"12","fieldblank",NA,2018-12-03 19:00:00,0.69,NA,NA,NA,0.084,NA,0.002,NA
"13","gtmfmnut",1,2018-01-15 19:00:00,1.45,0.212132034355964,8,2.82842712474619,0.316,0.021920310216783,0.035,0
"14","gtmfmnut",1,2018-02-12 19:00:00,1.75,0.212132034355964,19,8.48528137423857,0.416,0.0134350288425444,0.04,0.000707106781186548
"15","gtmfmnut",1,2018-03-26 20:00:00,2.15,0.212132034355964,4.5,3.53553390593274,0.234,0.0572756492761104,0.034,0.00212132034355964
"16","gtmfmnut",1,2018-04-24 20:00:00,2.7,0.282842712474619,3.5,2.12132034355964,0.352,0.00636396103067889,0.04,0.000707106781186548
"17","gtmfmnut",1,2018-05-28 20:00:00,15.5,0.707106781186548,7,1.4142135623731,0.572,0.0636396103067893,0.064,0.000707106781186548
"18","gtmfmnut",1,2018-06-11 20:00:00,6.35,0.0707106781186551,13,2.82842712474619,0.609,0.0162634559672906,0.066,0.00353553390593274
"19","gtmfmnut",1,2018-07-23 20:00:00,4.85,0.494974746830583,4.5,3.53553390593274,0.412,0.0254558441227157,0.062,0.0014142135623731
"20","gtmfmnut",1,2018-08-06 20:00:00,5.8,0.282842712474619,6.5,2.12132034355964,0.69,0.0558614357137372,0.066,0.00212132034355964
"21","gtmfmnut",1,2018-09-04 20:00:00,5.1,0.282842712474619,6,4.24264068711928,0.37,0.00212132034355964,0.052,0.0014142135623731
"22","gtmfmnut",1,2018-10-22 20:00:00,4,0.141421356237309,3.5,2.12132034355964,0.309,0.0127279220613579,0.036,0.000707106781186543
"23","gtmfmnut",1,2018-11-05 19:00:00,3.95,0.212132034355964,13,0,0.43,0.014142135623731,0.047,0
"24","gtmfmnut",1,2018-12-03 19:00:00,2.15,0.0707106781186548,9,1.4142135623731,0.57,0.0848528137423857,0.044,0.000707106781186548
"25","gtmpcnut",1,2018-01-15 19:00:00,1.75,0.0707106781186548,165,7.07106781186548,0.836,0.0615182899632296,0.057,0.0014142135623731
"26","gtmpcnut",1,2018-02-12 19:00:00,2.2,0.282842712474619,285,21.2132034355964,0.896,0.096873629022557,0.081,0
"27","gtmpcnut",1,2018-03-26 20:00:00,5.65,0.777817459305203,122,39.5979797464467,0.324,0.014142135623731,0.055,0.0014142135623731
"28","gtmpcnut",1,2018-04-24 20:00:00,9.95,1.48492424049175,120,0,0.874,0.0275771644662754,0.082,0.00494974746830584
"29","gtmpcnut",1,2018-05-28 20:00:00,4.2,0.14142135623731,170,56.5685424949238,1.267,0.0707106781186548,0.1,0
"30","gtmpcnut",1,2018-06-11 20:00:00,5.35,2.1920310216783,225,35.3553390593274,1.373,0.0707106781186547,0.082,0.00212132034355964
"31","gtmpcnut",1,2018-07-23 20:00:00,13,0,50,5.65685424949238,0.964,0.0346482322781408,0.092,0.000707106781186548
"32","gtmpcnut",1,2018-08-06 20:00:00,0.98,0.00707106781186548,225,7.07106781186548,1.264,0.067175144212722,0.058,0.00282842712474619
"33","gtmpcnut",1,2018-09-04 20:00:00,8.7,0.848528137423858,160,14.142135623731,0.962,0.0586898628384833,0.08,0.000707106781186548
"34","gtmpcnut",1,2018-10-22 20:00:00,10.25,1.06066017177982,53,9.89949493661167,0.692,0.0459619407771256,0.076,0.0014142135623731
"35","gtmpcnut",1,2018-11-05 19:00:00,6.35,0.494974746830583,63,1.4142135623731,0.605,0.014142135623731,0.064,0.000707106781186548
"36","gtmpcnut",1,2018-12-03 19:00:00,3.15,0.212132034355964,39.5,0.707106781186548,0.775,0.0636396103067893,0.056,0.0014142135623731
"37","gtmpcnut",2,2018-01-14 19:00:00,1.07,0.596984086890095,270,NA,0.962,0.138786766900403,0.071,0.00653197264742181
"38","gtmpcnut",2,2018-01-15 19:00:00,1.1,0.807941829589235,264,80.4984471899924,0.939,0.0715450906771387,0.062,0.00654217089351845
"39","gtmpcnut",2,2018-02-11 19:00:00,1.2,0.569938593183511,267.5,NA,0.893,0.0337816518246222,0.074,0.0037638632635454
"40","gtmpcnut",2,2018-02-12 19:00:00,1.25,0.643272881443016,222,91.4877040918614,0.95,0.0316417445789577,0.078,0.00554075807087803
"41","gtmpcnut",2,2018-03-25 20:00:00,5.32,2.07693684705787,102,NA,0.392,0.0458595682491669,0.058,0.00730524925424634
"42","gtmpcnut",2,2018-03-26 20:00:00,5.22,0.526307894677631,172,89.6771988857814,0.441,0.0354781622973908,0.06,0.00761577310586391
"43","gtmpcnut",2,2018-04-23 20:00:00,4.5,0.540370243444252,179.2,NA,0.923,0.078545316007173,0.081,0.00660302960768767
"44","gtmpcnut",2,2018-04-24 20:00:00,6.04,3.96396266379995,132,74.5519952784632,0.892,0.0952407475821142,0.079,0.00978263768111648
"45","gtmpcnut",2,2018-05-27 20:00:00,4.97,3.02368428687035,199,NA,1.235,0.0431972221329104,0.1,0.0158366663158633
"46","gtmpcnut",2,2018-05-28 20:00:00,3.66,2.396455716261,140,41.2310562561766,1.256,0.1181130814093,0.102,0.0247426756839272
"47","gtmpcnut",2,2018-06-10 20:00:00,3.85,1.96748570515773,159.6,NA,1.238,0.076755890110575,0.082,0.00977752524926425
"48","gtmpcnut",2,2018-06-11 20:00:00,1.64,NA,248,111.220501707194,1.263,0.0584337231399815,0.079,0.0112827301660547
"49","gtmpcnut",2,2018-07-22 20:00:00,11.27,4.99906657953929,60.6,NA,0.896,0.108716910674773,0.09,0.0126121634411653
"50","gtmpcnut",2,2018-07-23 20:00:00,6.82,4.65424537384956,67.4,41.7588314012737,0.88,0.0859494037210264,0.086,0.00939148550549912
"51","gtmpcnut",2,2018-08-05 20:00:00,1.74,1.10108431405895,180,NA,1.159,0.0567923116862367,0.064,0.0103150375665821
"52","gtmpcnut",2,2018-08-06 20:00:00,0.87,0.234051276433178,224,57.2712842531054,1.133,0.0449533091106761,0.057,0.00408656334834051
"53","gtmpcnut",2,2018-09-03 20:00:00,13.53,6.86867284609383,121.2,NA,0.858,0.0345485166107027,0.091,0.00497995983919549
"54","gtmpcnut",2,2018-09-04 20:00:00,6.98,3.12281923908509,138.8,NA,0.876,0.0486076125725179,0.092,0.00954986910905066
"55","gtmpcnut",2,2018-10-21 20:00:00,8.77,4.01630012158786,120.8,NA,0.843,0.0962185013393994,0.082,0.00750333259292163
"56","gtmpcnut",2,2018-10-22 20:00:00,5.38,3.61344710767987,113.2,81.3707564177697,0.84,0.198279600564455,0.081,0.0205718253929981
"57","gtmpcnut",2,2018-11-04 19:00:00,3.33,1.2628011192055,161,NA,0.693,0.0719555418296603,0.076,0.0146241808887427
"58","gtmpcnut",2,2018-11-05 19:00:00,3.06,1.39391534893623,174.8,68.2290260812801,0.687,0.0585901015530781,0.069,0.00524404424085076
"59","gtmpcnut",2,2018-12-02 19:00:00,2.1,0.777174369109018,110,NA,1.027,0.12628011192055,0.062,0.00263944438597722
"60","gtmpcnut",2,2018-12-03 19:00:00,2.22,1.26060303029939,85.2,42.698946122826,1.032,0.0769415362466853,0.062,0.00568330889535313
"61","gtmpinut",1,2018-01-15 19:00:00,3.5,0.14142135623731,5,2.82842712474619,0.527,0.0240416305603426,0.056,0.0014142135623731
"62","gtmpinut",1,2018-02-12 19:00:00,3.1,0.565685424949238,8.5,2.12132034355964,0.621,0.0212132034355964,0.056,0
"63","gtmpinut",1,2018-03-26 20:00:00,2.7,0.848528137423857,2,0,0.329,0.00707106781186548,0.04,0.000707106781186548
"64","gtmpinut",1,2018-04-24 20:00:00,4.75,0.777817459305202,8.5,2.12132034355964,0.463,0.00707106781186548,0.042,0.00141421356237309
"65","gtmpinut",1,2018-05-28 20:00:00,6.8,0.14142135623731,2.5,0.707106781186548,0.634,0.00707106781186548,0.068,0.000707106781186548
"66","gtmpinut",1,2018-06-11 20:00:00,5.2,0.282842712474619,10.5,6.36396103067893,0.77,0.0353553390593274,0.087,0
"67","gtmpinut",1,2018-07-23 20:00:00,4.35,0.0707106781186551,5,4.24264068711928,0.678,0.0509116882454315,0.069,0.00565685424949238
"68","gtmpinut",1,2018-08-06 20:00:00,11,0,3,0,0.929,0.0494974746830583,0.082,0.00353553390593274
"69","gtmpinut",1,2018-09-04 20:00:00,3.75,0.0707106781186545,3,0,0.804,0.0403050865276332,0.074,0.000707106781186548
"70","gtmpinut",1,2018-10-22 20:00:00,5,0.565685424949239,3.5,2.12132034355964,0.584,0.00353553390593274,0.066,0.000707106781186548
"71","gtmpinut",1,2018-11-05 19:00:00,4.05,0.777817459305202,9.5,2.12132034355964,0.483,0.0629325035256027,0.061,0
"72","gtmpinut",1,2018-12-03 19:00:00,2.85,0.212132034355964,20.5,3.53553390593274,0.625,0.0494974746830584,0.048,0.00212132034355964
"73","gtmssnut",1,2018-01-15 19:00:00,3.7,0.565685424949238,20.5,6.36396103067893,0.335,0.00424264068711933,0.038,0.0014142135623731
"74","gtmssnut",1,2018-02-12 19:00:00,2.75,0.494974746830583,53.5,12.0208152801713,0.514,0.00777817459305203,0.063,0.0014142135623731
"75","gtmssnut",1,2018-03-26 20:00:00,2.6,0.282842712474619,27.5,9.19238815542512,0.248,0.0381837661840736,0.038,0.000707106781186548
"76","gtmssnut",1,2018-04-24 20:00:00,2.55,0.0707106781186548,9,2.82842712474619,0.446,0.112429978208661,0.07,0.00212132034355963
